title,year,providers,source
Born Yesterday,1950.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Brief Encounter,1945.0,"Amazon Video, BFI Player Amazon Channel, FlixFling, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Butch Cassidy and the Sundance Kid,1969.0,"History Vault, Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Cape Fear,1962.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Captain Blood,1935.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Captains Courageous,1937.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Casablanca,1942.0,"Amazon Video, Cinemax Apple TV Channel, HBO Max, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home, HBO Max Amazon Channel, Cinemax Amazon Channel",TMDb
Cat on a Hot Tin Roof,1958.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Charade,1963.0,"FilmBox Live Amazon Channel, Amazon Video, Amazon Prime Video with Ads, Pure Flix, Britbox Apple TV Channel , Fandor Amazon Channel, Apple TV, Google Play Movies, YouTube, Philo, Fandango At Home, Amazon Prime Video, Great American Pure Flix Amazon Channel, fuboTV",TMDb
A Christmas Story,1983.0,"Amazon Video, Plex, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The Day the Earth Stood Still,1951.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home, Cultpix",TMDb
Days of Wine and Roses,1962.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
How the Grinch Stole Christmas,1967.0,,None
East of Eden,1955.0,"Amazon Video, YouTube TV, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The Elephant Man,1980.0,,None
The Four Feathers,1939.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
The General,1927.0,"Amazon Video, Kino Film Collection, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, FlixFling, Cohen Media Amazon Channel, Fandor Amazon Channel, Apple TV, Google Play Movies, YouTube, Philo, MGM Plus, Criterion Channel, fuboTV, Fandango At Home",TMDb
Glory,1989.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The Gunfighter,1950.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home, fuboTV",TMDb
Halloween,1978.0,"Amazon Video, IndieFlix Shorts Amazon Channel, Philo, AMC+, AMC Plus Apple TV Channel , Google Play Movies, Apple TV, Shudder, IndieFlix, Shudder Apple TV Channel, YouTube, AMC+ Amazon Channel, Fandango At Home, fuboTV, Cultpix, Shudder Amazon Channel",TMDb
