title,year,providers,source
Casino Royale,2006.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Catch Me If You Can,2002.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The Cave of the Yellow Dog (Die Hohle des gelben Hundes),2005.0,,None
The Celluloid Closet,1996.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Central Station (Central do Brasil),1998.0,Amazon Video,TMDb
Chak de! India,2007.0,"Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Amazon Prime Video",TMDb
Charm City,2018.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, PBS Documentaries Amazon Channel, Apple TV, YouTube, Fandango At Home, Amazon Prime Video, DocAlliance Films",TMDb
Charulata,1964.0,"Amazon Video, Criterion Channel, Apple TV, Fandango At Home",TMDb
Chasing Coral,2017.0,"Netflix, Netflix Standard with Ads",TMDb
Chasing Ice,2012.0,"Amazon Video, YouTube, Google Play Movies, Apple TV",TMDb
Chavela,2017.0,"Amazon Video, OVID, Amazon Prime Video with Ads, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Chef,2014.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video, Starz Apple TV Channel",TMDb
Chely Wright: Wish Me Away,2012.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Chi-Town,,"Amazon Video, Amazon Prime Video, Apple TV, Amazon Prime Video with Ads",TMDb
Children of Men,2006.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Children of Paradise (Les Enfants du Paradis),1946.0,"Amazon Video, Criterion Channel, Apple TV, Fandango At Home",TMDb
Children Underground,2001.0,"Amazon Video, YouTube, Google Play Movies, Apple TV",TMDb
Chimes at Midnight,1965.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Chinatown,1974.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Paramount+ Roku Premium Channel, Fandango At Home",TMDb
Chloe in the Afternoon (L'amour l'après-midi),1972.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Chris & Don,2007.0,"Amazon Video, OVID, Google Play Movies, Apple TV, YouTube",TMDb
Chris Rock: Bigger & Blacker,1999.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Fandango At Home, HBO Max Amazon Channel",TMDb
Chuck Berry: Hail! Hail! Rock 'n' Roll,1987.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Cinema Paradiso (Nuovo Cinema Paradiso),1988.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
Citizen Kane,1941.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Citizen X,1995.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Fandango At Home, HBO Max Amazon Channel",TMDb
Citizenfour,2014.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
City Lights,1931.0,"Amazon Video, Amazon Prime Video with Ads, HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, Amazon Prime Video, HBO Max Amazon Channel, Fandango At Home",TMDb
Cidade de Deus (City of God),2003.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
City of Life and Death,2011.0,,None
Clerks,1994.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
A Clockwork Orange,1971.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Close Encounters of the Third Kind,1977.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Close-up (Nema-ye Nazdik),1999.0,"Amazon Video, Criterion Channel, Apple TV, Fandango At Home",TMDb
Ostre Sledované Vlaky (Closely Watched Trains),1966.0,"Criterion Channel, Apple TV, Fandango At Home",TMDb
Coal Miner's Daughter,1980.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Coco,2017.0,"Amazon Video, Disney Plus, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Color of Paradise,2000.0,,None
Compulsion,1959.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Con Artist,2010.0,"Amazon Video, Apple TV, Night Flight Plus, Fandango At Home, fuboTV",TMDb
Contempt,1964.0,BFI Player Amazon Channel,TMDb
Control,2007.0,"Amazon Video, YouTube, Google Play Movies",TMDb
The Conversation,1974.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Criterion Channel, Amazon Prime Video, Fandango At Home",TMDb
"The Cook, the Thief, His Wife & Her Lover",1989.0,,None
Cool Hand Luke,1967.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Cooley High,1975.0,"ScreenPix Apple TV Channel, ScreenPix Amazon Channel , Fandango At Home",TMDb
The Corporation,2004.0,"Amazon Video, Apple TV",TMDb
The Court Jester,1956.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Creed,2015.0,"Amazon Video, Plex, Amazon Prime Video with Ads, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Cries and Whispers,1972.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
The Crimson Pirate,1952.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Crip Camp: A Disability Revolution,,"Netflix, Netflix Standard with Ads",TMDb
Critical Thinking,2020.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Crossing the Line,2007.0,,None
"Crouching Tiger, Hidden Dragon",2001.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The Cruise,1998.0,"Amazon Video, OVID, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Crumb,1995.0,"Amazon Video, Criterion Channel, Apple TV, Fandango At Home",TMDb
Cuba And The Cameraman,2017.0,"Netflix, Netflix Standard with Ads",TMDb
Cunningham,2019.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Philo, Fandango At Home",TMDb
Curse of the Demon,1958.0,"Amazon Video, Midnight Pulp, Screambox Amazon Channel, Midnight Pulp Amazon Channel, Fandor Amazon Channel, Apple TV, YouTube, Philo, Fandango At Home, Cultpix, Screambox",TMDb
Dallas Buyers Club,2013.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The Damned United,2009.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Dancer,2016.0,"Amazon Video, IFC Films Unlimited Apple TV Channel, Google Play Movies, Apple TV, AMC+ Amazon Channel, YouTube, Sundance Now, Philo, Fandango At Home",TMDb
Dark Days,2000.0,"Amazon Video, OVID, Google Play Movies, Fandor Amazon Channel, Apple TV, YouTube",TMDb
Dark Waters,2019.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Dawn Of The Planet Of The Apes,2014.0,"Amazon Video, YouTube TV, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
A Day at the Races,1937.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Day for Night,1973.0,,None
The Day of the Jackal,1973.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Days of Heaven,1978.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Dazed and Confused,1993.0,"Netflix, Amazon Video, Google Play Movies, Apple TV, Netflix Standard with Ads, YouTube, Fandango At Home",TMDb
DCU: Justice League: The Flashpoint Paradox,,,None
Dead Alive,1993.0,,None
Deadpool,2016.0,"Amazon Video, Disney Plus, YouTube TV, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Dear Ex,,"Netflix, Netflix Standard with Ads",TMDb
Death of a Cyclist (Muerte de un ciclista),1958.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Criterion Channel, Fandango At Home",TMDb
Deep Red (Profondo rosso),1975.0,"Cineverse, Screambox Amazon Channel, FlixFling, AMC+, Fandor Amazon Channel, Apple TV, Google Play Movies, Shudder, YouTube, Philo, Fandango At Home, Eternal Family, ARROW, Screambox",TMDb
Delicatessen,1992.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Deliver Us from Evil,2006.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video, fuboTV",TMDb
The Departed,2006.0,"Netflix, Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, Netflix Standard with Ads, YouTube, Fandango At Home",TMDb
Destiny (Der müde Tod),1924.0,"Kino Film Collection, FlixFling, Fandango At Home",TMDb
The Devil Came on Horseback,2007.0,Apple TV,TMDb
The Devil's Backbone (El Espinazo del diablo),2001.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Devils on the Doorstep (Guizi lai le),2002.0,,None
Dial M for Murder,1954.0,"Amazon Video, IndieFlix Shorts Amazon Channel, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Diary of a Lost Girl (Tagebuch einer Verlorenen),,"Amazon Video, Kino Film Collection, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Die Hard,1988.0,"Amazon Video, Philo, YouTube TV, Amazon Prime Video with Ads, AMC+, AMC Plus Apple TV Channel , AMC, Google Play Movies, Apple TV, YouTube, AMC+ Amazon Channel, Fandango At Home, Amazon Prime Video",TMDb
Dig!,2004.0,"Fandango At Home, Apple TV",TMDb
The Dirty Dozen,1967.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Dirty Harry,1971.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),1972.0,"Amazon Video, BFI Player Amazon Channel, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Aladdin,1992.0,"Amazon Video, Disney Plus, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Divided We Fall,2001.0,"Amazon Video, YouTube, Google Play Movies, Apple TV",TMDb
Dixie Chicks - Shut Up and Sing,2006.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Django Unchained,2012.0,"Amazon Video, Plex, Google Play Movies, Peacock Premium Plus, Spectrum On Demand, YouTube, Fandango At Home, Peacock Premium",TMDb
Do the Right Thing,1989.0,"Amazon Video, ALLBLK Amazon channel , Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home, ALLBLK Apple TV channel",TMDb
Doctor Strange,2016.0,"Amazon Video, Disney Plus, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Dodsworth,1936.0,"Amazon Video, Amazon Prime Video, Apple TV, Amazon Prime Video with Ads",TMDb
Dog Day Afternoon,1975.0,"Amazon Video, Cinemax Apple TV Channel, HBO Max, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home, HBO Max Amazon Channel, Cinemax Amazon Channel",TMDb
Dogtown and Z-Boys,2001.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
La Dolce Vita,1960.0,,None
Dolemite Is My Name,2019.0,"Netflix, Netflix Standard with Ads",TMDb
Dominick Dunne: After the Party,,"Fandango At Home, Apple TV",TMDb
Donnie Brasco,1997.0,"Amazon Video, YouTube TV, Google Play Movies, Apple TV, YouTube, Philo, Fandango At Home, fuboTV",TMDb
Don't Be Nice,2019.0,,None
Dont Look Back,1967.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Dora and the Lost City of Gold,2019.0,"Amazon Video, Plex, Google Play Movies, Apple TV, Paramount+ Amazon Channel, YouTube, Paramount+ Roku Premium Channel, Fandango At Home, Paramount Plus",TMDb
Double Indemnity,1944.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Down by Law,1986.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Downfall (Der Untergang),2004.0,"Shout! Factory Amazon Channel, Amazon Video, BFI Player Amazon Channel, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
"Dr. Mabuse the Gambler (Dr. Mabuse, der Spieler - Ein Bild der Zeit) (Dr. Mabuse, King of Crime)",1922.0,,None
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,1964.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, TCM, YouTube, Fandango At Home",TMDb
Dreams With Sharp Teeth,2008.0,Amazon Video,TMDb
The Dresser,1983.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Driveways,,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Drugstore Cowboy,1989.0,"Amazon Video, BFI Player Amazon Channel, Google Play Movies, Apple TV, YouTube, Fandango At Home, fuboTV",TMDb
Duck Soup,1933.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Eagles of Death Metal: Nos Amis (Our Friends),2017.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Early Summer,1951.0,"Criterion Channel, HBO Max, HBO Max Amazon Channel, Apple TV",TMDb
Easter Parade,1948.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Eat Drink Man Woman (Yin shi nan nu),1994.0,,None
Echo In the Canyon,2019.0,"Amazon Video, Google Play Movies, Apple TV, Paramount+ Amazon Channel, YouTube, Paramount Plus, Paramount+ Roku Premium Channel, Fandango At Home, fuboTV",TMDb
Ed Wood,1994.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Edward Scissorhands,1990.0,"Amazon Video, Disney Plus, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
El Dorado,1967.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, MGM Plus, Fandango At Home",TMDb
Elevator to the Gallows (Ascenseur pour l'échafaud),1958.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Elite Squad: The Enemy Within,,,None
Elling,2002.0,Viaplay Amazon Channel,TMDb
Elvis: That's the Way It Is,1970.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Emanuel,2019.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Emmet Otter's Jug-Band Christmas,1977.0,"Shout! Factory Amazon Channel, Amazon Video, Kidstream Amazon Channel, Amazon Prime Video with Ads, Google Play Movies, Apple TV, Night Flight Plus, YouTube, Fandango At Home, Amazon Prime Video",TMDb
"Empathy, Inc.",2019.0,"Amazon Video, Amazon Prime Video with Ads, Screambox Amazon Channel, Google Play Movies, Apple TV, YouTube, Philo, Fandango At Home, Amazon Prime Video, fuboTV",TMDb
Star Wars: Episode V - The Empire Strikes Back,1980.0,"Amazon Video, Disney Plus, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
End of Sentence,2020.0,"Amazon Video, MGM+ Amazon Channel, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Philo, MGM Plus, Fandango At Home, Amazon Prime Video",TMDb
End of the Century: The Story of the Ramones,2004.0,,None
End of Watch,2012.0,"Amazon Video, Cinemax Apple TV Channel, HBO Max, Google Play Movies, Apple TV, YouTube, Fandango At Home, fuboTV, HBO Max Amazon Channel, Cinemax Amazon Channel",TMDb
The Endless Summer,1966.0,"Amazon Video, The Surf Network Amazon Channel, Midnight Pulp, FlixFling, Amazon Prime Video with Ads, Midnight Pulp Amazon Channel, Fandor Amazon Channel, DocuramaFilms Amazon Channel, Apple TV, Google Play Movies, YouTube, Philo, Criterion Channel, Amazon Prime Video, Fandango At Home",TMDb
Enemies of the People,2010.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, GuideDoc, DocAlliance Films",TMDb
The Enemy Below,1957.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Enigma of Kaspar Hauser (Jeder für sich und Gott gegen alle)(Every Man for Himself and God Against All),1974.0,"Shout! Factory Amazon Channel, Amazon Video, Cohen Media Amazon Channel, Fandor Amazon Channel, Apple TV, Google Play Movies, YouTube, Philo",TMDb
Enron: The Smartest Guys in the Room,2005.0,"Amazon Video, Dox Amazon Channel, Magnolia Selects Amazon Channel, Amazon Prime Video with Ads, FlixFling, Google Play Movies, Apple TV, YouTube, Philo, Fandango At Home, Amazon Prime Video",TMDb
Enter the Dragon,1973.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Ernest & Célestine,2014.0,"Fandango At Home, Apple TV",TMDb
Escape From Alcatraz,1979.0,"History Vault, Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
Eternal Sunshine of the Spotless Mind,2004.0,"Amazon Video, FlixFling, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Even the Rain (Meme La Pluie),2011.0,"Netflix, Netflix Standard with Ads",TMDb
Every Act of Life,,"Amazon Video, Dekkoo Amazon Channel, Google Play Movies, Apple TV, Dekkoo, YouTube, Fandango At Home",TMDb
Every Little Step,2009.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Everyday Sunshine: The Story of Fishbone,2011.0,"Amazon Video, Apple TV",TMDb
Evil Dead 2: Dead by Dawn,1987.0,"Amazon Video, Amazon Prime Video with Ads, HBO Max, Google Play Movies, Apple TV, IndieFlix, YouTube, Fandango At Home, Amazon Prime Video, HBO Max Amazon Channel",TMDb
Ex Machina,2015.0,"Amazon Video, FlixFling, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Exit Through The Gift Shop,2010.0,,None
Eyes Without a Face,1962.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
F for Fake,1974.0,,None
A Face in the Crowd,1957.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Face to Face,,,None
"Faces Places (Visages, villages)",2017.0,"Amazon Video, Cohen Media Amazon Channel, Google Play Movies, Apple TV, YouTube",TMDb
Fagara,2019.0,"Fandango At Home, OVID, Rakuten Viki, Apple TV",TMDb
Fail-Safe,1964.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Fall of Fujimori,2006.0,,None
The Fallen Idol,1949.0,"IndieFlix Shorts Amazon Channel, IndieFlix, BFI Player Amazon Channel, FlixFling",TMDb
Fanny & Alexander,1982.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Fantastic Planet,1973.0,"Amazon Video, Cinemax Apple TV Channel, HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, HBO Max Amazon Channel, Cinemax Amazon Channel, Fandango At Home",TMDb
Far From the Tree,2018.0,"Amazon Video, IFC Films Unlimited Apple TV Channel, AMC+, Google Play Movies, Apple TV, AMC+ Amazon Channel, YouTube, Sundance Now, Philo, Fandango At Home",TMDb
Far Out Isn't Far Enough: The Tomi Ungerer Story,2013.0,,None
Fargo,1996.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Plex, Google Play Movies, Apple TV, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
Fat City,1972.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Angst Essen Seele auf (Ali: Fear Eats the Soul),1974.0,"Amazon Video, HBO Max, Apple TV, TCM, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Fearless Freaks,2005.0,,None
Feast of the Seven Fishes,2019.0,"Shout! Factory Amazon Channel, Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Feels Good Man,2020.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Female Trouble,1974.0,"Fandango At Home, YouTube, Google Play Movies",TMDb
Festival Express,2003.0,"Shout! Factory Amazon Channel, Amazon Video, Amazon Prime Video with Ads, Qello Concerts by Stingray Amazon Channel, Amazon Prime Video, Fandango At Home",TMDb
Field of Dreams,1989.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
A Film Unfinished,2010.0,"Amazon Video, OVID, Fandor Amazon Channel, Apple TV, Chai Flicks, Google Play Movies, YouTube, Fandango At Home",TMDb
The Filth and the Fury,2000.0,Fandango At Home,TMDb
Finding Nemo,2003.0,"Amazon Video, Disney Plus, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Finding Vivian Maier,2014.0,"Amazon Video, AMC+, Google Play Movies, Apple TV, AMC+ Amazon Channel, YouTube, Philo, MUBI Amazon Channel, MUBI",TMDb
Fire in Babylon,2011.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
First Blood,1982.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
First Love (Hatsukoi),2019.0,,None
Fist of Legend (Jing wu ying xiong),2008.0,"Shout! Factory Amazon Channel, Amazon Video, Google Play Movies, Apple TV, Peacock Premium Plus, YouTube, Fandango At Home, Peacock Premium",TMDb
A Fistful of Dollars (Per un Pugno di Dollari),1964.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, YouTube TV, Plex, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
Food Chains,2014.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
"Food, Inc.",2009.0,"Amazon Video, Dox Amazon Channel, Magnolia Selects Amazon Channel, Amazon Prime Video with Ads, FlixFling, Google Play Movies, Apple TV, YouTube, Philo, Fandango At Home, Amazon Prime Video",TMDb
Foosballers,2020.0,,None
For a Few Dollars More (Per Qualche Dollaro in Più),1965.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
For All Mankind,1989.0,"Amazon Video, Cinemax Apple TV Channel, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Cinemax Amazon Channel, Fandango At Home",TMDb
For the Bible Tells Me So,2007.0,"OVID, Apple TV",TMDb
Forbidden Planet,1956.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Fox and His Friends,1975.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Frank and Ollie,1997.0,,None
Freaks,1932.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Freaks,2019.0,"Amazon Video, Google Play Movies, Apple TV, Peacock Premium Plus, YouTube, Fandango At Home, fuboTV, Peacock Premium",TMDb
Free China: The Courage to Believe,2011.0,,None
Free Solo,2018.0,"Amazon Video, Disney Plus, Hulu, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Freestyle,2000.0,Apple TV,TMDb
The French Connection,1971.0,"History Vault, Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Fresh,1994.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Frost/Nixon,2008.0,"Amazon Video, Cinemax Apple TV Channel, Google Play Movies, Apple TV, YouTube, Fandango At Home, Cinemax Amazon Channel",TMDb
Frozen,2013.0,"Amazon Video, Disney Plus, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Fruitvale Station,2013.0,"Amazon Video, Hulu, MovieSphere+ Amazon Channel, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Full Metal Jacket,1987.0,"Amazon Video, Plex, Google Play Movies, Apple TV, Paramount+ Amazon Channel, Spectrum On Demand, YouTube, Paramount Plus, Paramount+ Roku Premium Channel, MGM Plus, Fandango At Home, fuboTV",TMDb
Funny Girl,1968.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Gandhi,1982.0,"Amazon Video, Hulu, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Garden State,2004.0,"Hulu, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
GasLand,2010.0,,None
Gaslight,1944.0,"Amazon Video, IndieFlix Shorts Amazon Channel, Google Play Movies, Apple TV, Spectrum On Demand, TCM, YouTube, Fandango At Home",TMDb
General della Rovere (Il generale Della Rovere),1959.0,"YouTube, Google Play Movies, Apple TV",TMDb
Gentleman Jim,1942.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
George Harrison: Living In The Material World,,Apple TV,TMDb
Get Out,2017.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home, HBO Max Amazon Channel",TMDb
The Ghost and Mrs. Muir,1947.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Ghost in the Shell,1996.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Criterion Channel, Fandango At Home",TMDb
Ghostbusters,1984.0,"Amazon Video, YouTube TV, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Giant,1956.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Gilda,1946.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Gimme Shelter,1970.0,"Amazon Video, HBO Max, Google Play Movies, YouTube, Criterion Channel, HBO Max Amazon Channel",TMDb
Give Up Tomorrow,,"GuideDoc, Amazon Video",TMDb
Gleason,2016.0,"Fandango At Home, Amazon Prime Video, Amazon Prime Video with Ads",TMDb
Glen Campbell: I'll Be Me,2014.0,"Amazon Video, Fandango At Home, Apple TV",TMDb
Glengarry Glen Ross,1992.0,"Shout! Factory Amazon Channel, Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, Fandango At Home, Amazon Prime Video, fuboTV",TMDb
God Grew Tired Of Us,2007.0,,None
God Knows Where I Am,2017.0,"Amazon Video, Fandango At Home",TMDb
