title,url,release_date,critic_score,audience_score,average_rating,release_date_clean,release_date_parsed
The Witcher: Nightmare of the Wolf,https://www.rottentomatoes.com/m/the_witcher_nightmare_of_the_wolf,2021,100.0,83.0,91.5,2021,2021-01-01
RUSHED,https://www.rottentomatoes.com/m/rushed,"Released Aug 27, 2021",90.0,88.0,89.0,"Aug 27, 2021",2021-08-27
Come From Away,https://www.rottentomatoes.com/m/come_from_away,2021,98.0,95.0,96.5,2021,2021-01-01
Language Lessons,https://www.rottentomatoes.com/m/language_lessons,"Released Sep 10, 2021",96.0,83.0,89.5,"Sep 10, 2021",2021-09-10
Show Me the Father,https://www.rottentomatoes.com/m/show_me_the_father,"Released Sep 10, 2021",,97.0,97.0,"Sep 10, 2021",2021-09-10
My Name Is Pauli Murray,https://www.rottentomatoes.com/m/my_name_is_pauli_murray,"Released Sep 17, 2021",94.0,80.0,87.0,"Sep 17, 2021",2021-09-17
The Killing of Kenneth Chamberlain,https://www.rottentomatoes.com/m/the_killing_of_kenneth_chamberlain,"Released Sep 17, 2021",97.0,85.0,91.0,"Sep 17, 2021",2021-09-17
My Little Pony: A New Generation,https://www.rottentomatoes.com/m/my_little_pony_a_new_generation,2021,92.0,82.0,87.0,2021,2021-01-01
Old Henry,https://www.rottentomatoes.com/m/old_henry,"Released Oct 1, 2021",95.0,92.0,93.5,"Oct 1, 2021",2021-10-01
God's Not Dead: We the People,https://www.rottentomatoes.com/m/gods_not_dead_we_the_people,"Released Oct 4, 2021",,100.0,100.0,"Oct 4, 2021",2021-10-04
"Introducing, Selma Blair",https://www.rottentomatoes.com/m/introducing_selma_blair,"Released Oct 15, 2021",100.0,71.0,85.5,"Oct 15, 2021",2021-10-15
Ron's Gone Wrong,https://www.rottentomatoes.com/m/rons_gone_wrong,"Released Oct 22, 2021",81.0,94.0,87.5,"Oct 22, 2021",2021-10-22
The Harder They Fall,https://www.rottentomatoes.com/m/the_harder_they_fall,"Released Oct 22, 2021",88.0,93.0,90.5,"Oct 22, 2021",2021-10-22
The Souvenir Part II,https://www.rottentomatoes.com/m/the_souvenir_part_ii,"Released Oct 29, 2021",90.0,86.0,88.0,"Oct 29, 2021",2021-10-29
The Beta Test,https://www.rottentomatoes.com/m/the_beta_test,"Released Nov 5, 2021",92.0,,92.0,"Nov 5, 2021",2021-11-05
"Tick, Tick... Boom!",https://www.rottentomatoes.com/m/tick_tick_boom,"Released Nov 12, 2021",87.0,96.0,91.5,"Nov 12, 2021",2021-11-12
