title,url,release_date,critic_score,audience_score
Close Encounters of the Third Kind,https://www.rottentomatoes.com/m/close_encounters_of_the_third_kind,"Released Nov 16, 1977",90.0,85.0
Opening Night,https://www.rottentomatoes.com/m/opening_night,"Released Dec 25, 1977",96.0,90.0
National Lampoon's Animal House,https://www.rottentomatoes.com/m/national_lampoons_animal_house,"Released Jun 1, 1978",91.0,89.0
The Deer Hunter,https://www.rottentomatoes.com/m/the_deer_hunter,"Released Dec 8, 1978",86.0,91.0
The Deer Hunter,https://www.rottentomatoes.com/m/deer_hunter,"Released Dec 8, 1978",86.0,91.0
Blue Collar,https://www.rottentomatoes.com/m/blue_collar,"Released Feb 10, 1978",96.0,88.0
The Last Waltz,https://www.rottentomatoes.com/m/last_waltz,"Released Dec 31, 1978",98.0,94.0
Star Wars: Episode IV - A New Hope,https://www.rottentomatoes.com/m/star_wars,"Released May 25, 1977",93.0,96.0
National Lampoon's Animal House,https://www.rottentomatoes.com/m/national_lampoons_animal_house,"Released Jun 1, 1978",91.0,89.0
A Wedding,https://www.rottentomatoes.com/m/a_wedding,2016,100.0,86.0
Days of Heaven,https://www.rottentomatoes.com/m/days_of_heaven,"Released Jan 1, 1978",94.0,89.0
Midnight Express,https://www.rottentomatoes.com/m/midnight_express,"Released Sep 1, 1978",90.0,88.0
Autumn Sonata,https://www.rottentomatoes.com/m/autumn_sonata,"Released Oct 8, 1978",85.0,92.0
The Deer Hunter,https://www.rottentomatoes.com/m/the_deer_hunter,"Released Dec 8, 1978",86.0,91.0
The Deer Hunter,https://www.rottentomatoes.com/m/deer_hunter,"Released Dec 8, 1978",86.0,91.0
Kramer vs. Kramer,https://www.rottentomatoes.com/m/kramer_vs_kramer,"Released Dec 19, 1979",89.0,89.0
Alien,https://www.rottentomatoes.com/m/alien,"Released May 25, 1979",93.0,94.0
Apocalypse Now,https://www.rottentomatoes.com/m/apocalypse_now,"Released Aug 15, 1979",97.0,94.0
The Muppet Movie,https://www.rottentomatoes.com/m/the_muppet_movie,"Released Jun 22, 1979",89.0,88.0
The Muppet Movie,https://www.rottentomatoes.com/m/muppet_movie,"Released Jun 22, 1979",89.0,88.0
Richard Pryor: Live in Concert,https://www.rottentomatoes.com/m/richard_pryor_live_in_concert,"Released Jan 26, 1979",92.0,93.0
Manhattan,https://www.rottentomatoes.com/m/manhattan,"Released Mar 14, 1979",94.0,92.0
The Kids Are Alright,https://www.rottentomatoes.com/m/the_kids_are_alright,Now Playing,100.0,88.0
Alien,https://www.rottentomatoes.com/m/alien,"Released May 25, 1979",93.0,94.0
Jaws,https://www.rottentomatoes.com/m/jaws,"Released Jun 20, 1975",97.0,90.0
Escape From Alcatraz,https://www.rottentomatoes.com/m/escape_from_alcatraz,1979,97.0,85.0
The Muppet Movie,https://www.rottentomatoes.com/m/the_muppet_movie,"Released Jun 22, 1979",89.0,88.0
The Muppet Movie,https://www.rottentomatoes.com/m/muppet_movie,"Released Jun 22, 1979",89.0,88.0
Breaking Away,https://www.rottentomatoes.com/m/breaking_away,"Released Jul 18, 1979",95.0,88.0
The Wanderers,https://www.rottentomatoes.com/m/wanderers,"Released Jul 4, 1979",89.0,87.0
Apocalypse Now,https://www.rottentomatoes.com/m/apocalypse_now,"Released Aug 15, 1979",97.0,94.0
Star Wars: Episode IV - A New Hope,https://www.rottentomatoes.com/m/star_wars,"Released May 25, 1977",93.0,96.0
Life of Brian,https://www.rottentomatoes.com/m/monty_pythons_life_of_brian,"Released Aug 17, 1979",96.0,93.0
Heartland,https://www.rottentomatoes.com/m/heartland,"Released Sep 22, 1979",100.0,86.0
Head Over Heels,https://www.rottentomatoes.com/m/chilly_scenes_of_winter,1979,90.0,92.0
All Quiet on the Western Front,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front,"Released Aug 24, 1930",98.0,89.0
Being There,https://www.rottentomatoes.com/m/being_there,"Released Dec 19, 1979",95.0,92.0
Kramer vs. Kramer,https://www.rottentomatoes.com/m/kramer_vs_kramer,"Released Dec 19, 1979",89.0,89.0
All That Jazz,https://www.rottentomatoes.com/m/all_that_jazz,Now Playing,87.0,85.0
Star Wars: Episode V - The Empire Strikes Back,https://www.rottentomatoes.com/m/the_empire_strikes_back,"Released May 21, 1980",95.0,97.0
Star Wars: Episode V - The Empire Strikes Back,https://www.rottentomatoes.com/m/empire_strikes_back,"Released May 21, 1980",95.0,97.0
Airplane!,https://www.rottentomatoes.com/m/airplane,"Released Jan 1, 1980",97.0,89.0
Coal Miner's Daughter,https://www.rottentomatoes.com/m/coal_miners_daughter,"Released Mar 7, 1980",86.0,86.0
2001: A Space Odyssey,https://www.rottentomatoes.com/m/2001_a_space_odyssey,"Released Apr 2, 1968",92.0,89.0
Coal Miner's Daughter,https://www.rottentomatoes.com/m/coal_miners_daughter,"Released Mar 7, 1980",86.0,86.0
Breaker Morant,https://www.rottentomatoes.com/m/breaker_morant,"Released May 16, 1980",100.0,91.0
Star Wars: Episode V - The Empire Strikes Back,https://www.rottentomatoes.com/m/the_empire_strikes_back,"Released May 21, 1980",95.0,97.0
Star Wars: Episode V - The Empire Strikes Back,https://www.rottentomatoes.com/m/empire_strikes_back,"Released May 21, 1980",95.0,97.0
Airplane!,https://www.rottentomatoes.com/m/airplane,"Released Jan 1, 1980",97.0,89.0
Ordinary People,https://www.rottentomatoes.com/m/ordinary_people,"Released Sep 19, 1980",89.0,88.0
