title,url,release_date,critic_score,audience_score
The Orphanage,https://www.rottentomatoes.com/m/the_orphanage,"Released Jan 11, 2008",87.0,86.0
The Dark Knight,https://www.rottentomatoes.com/m/the_dark_knight,"Released Jul 18, 2008",94.0,94.0
Iron Man,https://www.rottentomatoes.com/m/iron_man,"Released May 2, 2008",94.0,91.0
In Bruges,https://www.rottentomatoes.com/m/in_bruges,"Released Feb 8, 2008",85.0,87.0
Sita Sings the Blues,https://www.rottentomatoes.com/m/sita_sings_the_blues,2008,100.0,85.0
U2 3D,https://www.rottentomatoes.com/m/u2_3d,"Released Feb 22, 2008",92.0,93.0
Young at Heart,https://www.rottentomatoes.com/m/youngheart,"Released Apr 9, 2008",90.0,91.0
Iron Man,https://www.rottentomatoes.com/m/iron_man,"Released May 2, 2008",94.0,91.0
The Dark Knight,https://www.rottentomatoes.com/m/the_dark_knight,"Released Jul 18, 2008",94.0,94.0
Boy A,https://www.rottentomatoes.com/m/boy_a,"Released Jul 23, 2008",88.0,87.0
Trouble the Water,https://www.rottentomatoes.com/m/trouble_the_water,"Released Aug 22, 2008",96.0,87.0
Slumdog Millionaire,https://www.rottentomatoes.com/m/slumdog_millionaire,"Released Jan 23, 2009",91.0,90.0
Milk,https://www.rottentomatoes.com/m/milk,"Released Nov 26, 2008",93.0,89.0
Frost/Nixon,https://www.rottentomatoes.com/m/frostnixon,"Released Dec 25, 2008",93.0,88.0
The Wrestler,https://www.rottentomatoes.com/m/the_wrestler,"Released Dec 17, 2008",98.0,88.0
Waltz With Bashir,https://www.rottentomatoes.com/m/waltz_with_bashir,"Released Dec 25, 2008",97.0,91.0
Up,https://www.rottentomatoes.com/m/up,"Released May 29, 2009",98.0,90.0
Star Trek,https://www.rottentomatoes.com/m/star_trek,"Released May 7, 2009",94.0,91.0
Anvil! The Story of Anvil,https://www.rottentomatoes.com/m/anvil_the_story_of_anvil,"Released Apr 10, 2009",98.0,90.0
The Girl With the Dragon Tattoo,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo,"Released Dec 20, 2011",86.0,86.0
The Girl With the Dragon Tattoo,https://www.rottentomatoes.com/m/girl_with_the_dragon_tattoo,Now Playing,85.0,87.0
The Song of Sparrows,https://www.rottentomatoes.com/m/song_of_sparrows,"Released Apr 3, 2009",98.0,87.0
Anvil! The Story of Anvil,https://www.rottentomatoes.com/m/anvil_the_story_of_anvil,"Released Apr 10, 2009",98.0,90.0
Every Little Step,https://www.rottentomatoes.com/m/every_little_step,"Released Apr 17, 2009",92.0,88.0
Grey Gardens,https://www.rottentomatoes.com/m/grey_gardens,"Released Sep 27, 1975",94.0,85.0
Star Trek,https://www.rottentomatoes.com/m/star_trek,"Released May 7, 2009",94.0,91.0
Up,https://www.rottentomatoes.com/m/up,"Released May 29, 2009",98.0,90.0
"Food, Inc.",https://www.rottentomatoes.com/m/food_inc,"Released Jun 12, 2009",95.0,86.0
Moon,https://www.rottentomatoes.com/m/moon,"Released Jun 12, 2009",90.0,89.0
Inglourious Basterds,https://www.rottentomatoes.com/m/inglourious_basterds,"Released Aug 21, 2009",89.0,88.0
Zombieland,https://www.rottentomatoes.com/m/zombieland,"Released Oct 2, 2009",89.0,86.0
The Damned United,https://www.rottentomatoes.com/m/damned_united,"Released Oct 9, 2009",92.0,85.0
Toy Story 3,https://www.rottentomatoes.com/m/toy_story_3,"Released Jun 18, 2010",98.0,90.0
Inception,https://www.rottentomatoes.com/m/inception,"Released Jul 16, 2010",87.0,91.0
How to Train Your Dragon,https://www.rottentomatoes.com/m/how_to_train_your_dragon,"Released Mar 26, 2010",99.0,91.0
Tangled,https://www.rottentomatoes.com/m/tangled,"Released Nov 24, 2010",89.0,87.0
Temple Grandin,https://www.rottentomatoes.com/m/temple_grandin,2010,100.0,94.0
Lourdes,https://www.rottentomatoes.com/m/lourdes,"Released Jun 25, 2021",100.0,91.0
The Art of the Steal,https://www.rottentomatoes.com/m/art_of_the_steal,"Released Feb 26, 2010",85.0,87.0
A Prophet,https://www.rottentomatoes.com/m/a_prophet,"Released Feb 26, 2010",96.0,89.0
How to Train Your Dragon,https://www.rottentomatoes.com/m/how_to_train_your_dragon,"Released Mar 26, 2010",99.0,91.0
Exit Through the Gift Shop,https://www.rottentomatoes.com/m/exit_through_the_gift_shop,"Released Apr 16, 2010",96.0,91.0
Racing Dreams,https://www.rottentomatoes.com/m/racing_dreams,"Released May 21, 2010",100.0,93.0
Toy Story 3,https://www.rottentomatoes.com/m/toy_story_3,"Released Jun 18, 2010",98.0,90.0
"I Was Born, But ...",https://www.rottentomatoes.com/m/i_was_born_but,1932,100.0,90.0
Restrepo,https://www.rottentomatoes.com/m/restrepo,"Released Jun 25, 2010",96.0,88.0
Inception,https://www.rottentomatoes.com/m/inception,"Released Jul 16, 2010",87.0,91.0
Neshoba: The Price of Freedom,https://www.rottentomatoes.com/m/neshoba,"Released Aug 13, 2010",88.0,93.0
The Tillman Story,https://www.rottentomatoes.com/m/the_tillman_story,"Released Aug 20, 2010",94.0,91.0
The Town,https://www.rottentomatoes.com/m/the_town,"Released Sep 17, 2010",92.0,85.0
The Social Network,https://www.rottentomatoes.com/m/the_social_network,"Released Oct 1, 2010",96.0,87.0
Inside Job,https://www.rottentomatoes.com/m/inside_job,"Released Oct 8, 2010",98.0,91.0
127 Hours,https://www.rottentomatoes.com/m/127_hours,"Released Jan 28, 2011",93.0,85.0
Tangled,https://www.rottentomatoes.com/m/tangled,"Released Nov 24, 2010",89.0,87.0
The King's Speech,https://www.rottentomatoes.com/m/the_kings_speech,"Released Jan 28, 2011",94.0,92.0
The Fighter,https://www.rottentomatoes.com/m/the_fighter,"Released Dec 17, 2010",91.0,89.0
Harry Potter and the Deathly Hallows: Part 2,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2,"Released Jul 15, 2011",96.0,89.0
Buck,https://www.rottentomatoes.com/m/buck,"Released Jun 17, 2011",90.0,89.0
"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",https://www.rottentomatoes.com/m/beats_rhymes_and_life_the_travels_of_a_tribe_called_quest,"Released Jul 8, 2011",90.0,90.0
Harry Potter and the Deathly Hallows: Part 2,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2,"Released Jul 15, 2011",96.0,89.0
The Set-Up,https://www.rottentomatoes.com/m/setup,1949,85.0,89.0
Moneyball,https://www.rottentomatoes.com/m/moneyball,"Released Sep 23, 2011",94.0,86.0
George Harrison: Living in the Material World,https://www.rottentomatoes.com/m/george_harrison_living_in_the_material_world,2011,87.0,93.0
The Artist,https://www.rottentomatoes.com/m/the_artist,"Released Nov 23, 2011",95.0,87.0
The Girl With the Dragon Tattoo,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo,"Released Dec 20, 2011",86.0,86.0
The Girl With the Dragon Tattoo,https://www.rottentomatoes.com/m/girl_with_the_dragon_tattoo,Now Playing,85.0,87.0
Marvel's the Avengers,https://www.rottentomatoes.com/m/avengers,"Released May 4, 2012",91.0,91.0
The Dark Knight Rises,https://www.rottentomatoes.com/m/the_dark_knight_rises,"Released Jul 20, 2012",87.0,90.0
Skyfall,https://www.rottentomatoes.com/m/skyfall,"Released Nov 9, 2012",92.0,86.0
Beauty and the Beast,https://www.rottentomatoes.com/m/beauty_and_the_beast_3d,"Released Nov 13, 1991",93.0,92.0
The Secret World of Arrietty,https://www.rottentomatoes.com/m/the_secret_world_of_arrietty,"Released Feb 17, 2012",94.0,85.0
Jiro Dreams of Sushi,https://www.rottentomatoes.com/m/jiro_dreams_of_sushi,"Released Mar 9, 2012",99.0,91.0
The Raid: Redemption,https://www.rottentomatoes.com/m/the_raid_redemption,"Released Apr 13, 2012",87.0,87.0
Monsieur Lazhar,https://www.rottentomatoes.com/m/monsieur_lazhar,"Released Apr 13, 2012",98.0,86.0
Marley,https://www.rottentomatoes.com/m/marley,"Released Apr 20, 2012",96.0,90.0
Headhunters,https://www.rottentomatoes.com/m/headhunters,"Released Apr 27, 2012",93.0,85.0
Marvel's the Avengers,https://www.rottentomatoes.com/m/avengers,"Released May 4, 2012",91.0,91.0
Moonrise Kingdom,https://www.rottentomatoes.com/m/moonrise_kingdom,"Released Jun 29, 2012",93.0,86.0
5 Broken Cameras,https://www.rottentomatoes.com/m/5_broken_cameras,"Released May 3, 2012",96.0,88.0
The Dark Knight Rises,https://www.rottentomatoes.com/m/the_dark_knight_rises,"Released Jul 20, 2012",87.0,90.0
Ai Weiwei: Never Sorry,https://www.rottentomatoes.com/m/ai_weiwei_never_sorry,"Released Jul 27, 2012",98.0,87.0
Searching for Sugar Man,https://www.rottentomatoes.com/m/searching_for_sugar_man,"Released Jul 27, 2012",95.0,92.0
Finding Nemo,https://www.rottentomatoes.com/m/finding_nemo_3d,"Released May 30, 2003",99.0,86.0
End of Watch,https://www.rottentomatoes.com/m/end_of_watch,"Released Sep 21, 2012",85.0,86.0
The Perks of Being a Wallflower,https://www.rottentomatoes.com/m/the_perks_of_being_a_wallflower,"Released Oct 12, 2012",85.0,89.0
The Perks of Being a Wallflower,https://www.rottentomatoes.com/m/perks_of_being_a_wallflower,"Released Oct 12, 2012",85.0,89.0
It's Such a Beautiful Day,https://www.rottentomatoes.com/m/its_such_a_beautiful_day,"Released Aug 24, 2012",100.0,92.0
Skyfall,https://www.rottentomatoes.com/m/skyfall,"Released Nov 9, 2012",92.0,86.0
Chasing Ice,https://www.rottentomatoes.com/m/chasing_ice,"Released Nov 9, 2012",96.0,85.0
Silver Linings Playbook,https://www.rottentomatoes.com/m/silver_linings_playbook,"Released Nov 21, 2012",92.0,86.0
"Monsters, Inc.",https://www.rottentomatoes.com/m/monsters_inc_3d,"Released Nov 2, 2001",96.0,90.0
Django Unchained,https://www.rottentomatoes.com/m/django_unchained,"Released Dec 25, 2012",87.0,92.0
West of Memphis,https://www.rottentomatoes.com/m/west_of_memphis,"Released Dec 25, 2012",95.0,87.0
The Hunger Games: Catching Fire,https://www.rottentomatoes.com/m/the_hunger_games_catching_fire,"Released Nov 22, 2013",90.0,89.0
Sound City,https://www.rottentomatoes.com/m/sound_city,"Released Feb 1, 2013",100.0,90.0
Jurassic Park,https://www.rottentomatoes.com/m/jurassic_park_3d,"Released Jun 11, 1993",92.0,91.0
Fruitvale Station,https://www.rottentomatoes.com/m/fruitvale_station,"Released Jul 26, 2013",94.0,87.0
Short Term 12,https://www.rottentomatoes.com/m/short_term_12,"Released Aug 23, 2013",98.0,92.0
Captain Phillips,https://www.rottentomatoes.com/m/captain_phillips,"Released Oct 11, 2013",93.0,89.0
12 Years a Slave,https://www.rottentomatoes.com/m/12_years_a_slave,"Released Oct 18, 2013",95.0,90.0
Dallas Buyers Club,https://www.rottentomatoes.com/m/dallas_buyers_club,"Released Nov 1, 2013",92.0,91.0
The Hunger Games: Catching Fire,https://www.rottentomatoes.com/m/the_hunger_games_catching_fire,"Released Nov 22, 2013",90.0,89.0
Philomena,https://www.rottentomatoes.com/m/philomena,"Released Nov 22, 2013",91.0,89.0
Guardians of the Galaxy,https://www.rottentomatoes.com/m/guardians_of_the_galaxy,"Released Aug 1, 2014",92.0,92.0
Captain America: The Winter Soldier,https://www.rottentomatoes.com/m/captain_america_the_winter_soldier,"Released Apr 4, 2014",90.0,92.0
The LEGO Movie,https://www.rottentomatoes.com/m/the_lego_movie,"Released Feb 7, 2014",96.0,87.0
Big Hero 6,https://www.rottentomatoes.com/m/big_hero_6,"Released Nov 7, 2014",90.0,91.0
The LEGO Movie,https://www.rottentomatoes.com/m/the_lego_movie,"Released Feb 7, 2014",96.0,87.0
The Grand Budapest Hotel,https://www.rottentomatoes.com/m/the_grand_budapest_hotel,"Released Mar 7, 2014",92.0,87.0
Captain America: The Winter Soldier,https://www.rottentomatoes.com/m/captain_america_the_winter_soldier,"Released Apr 4, 2014",90.0,92.0
The Normal Heart,https://www.rottentomatoes.com/m/the_normal_heart,2014,94.0,88.0
Edge of Tomorrow,https://www.rottentomatoes.com/m/edge_of_tomorrow,"Released Jun 6, 2014",91.0,90.0
How to Train Your Dragon 2,https://www.rottentomatoes.com/m/how_to_train_your_dragon_2,"Released Jun 13, 2014",92.0,90.0
Deliver Us From Evil,https://www.rottentomatoes.com/m/deliver_us_from_evil,"Released Oct 13, 2006",100.0,89.0
Dawn of the Planet of the Apes,https://www.rottentomatoes.com/m/dawn_of_the_planet_of_the_apes,"Released Jul 11, 2014",91.0,88.0
Guardians of the Galaxy,https://www.rottentomatoes.com/m/guardians_of_the_galaxy,"Released Aug 1, 2014",92.0,92.0
Gone Girl,https://www.rottentomatoes.com/m/gone_girl,"Released Oct 3, 2014",88.0,87.0
Nightcrawler,https://www.rottentomatoes.com/m/nightcrawler,"Released Oct 31, 2014",95.0,86.0
Big Hero 6,https://www.rottentomatoes.com/m/big_hero_6,"Released Nov 7, 2014",90.0,91.0
Selma,https://www.rottentomatoes.com/m/selma,"Released Jan 9, 2015",99.0,86.0
The Martian,https://www.rottentomatoes.com/m/the_martian,"Released Oct 2, 2015",91.0,91.0
Ex Machina,https://www.rottentomatoes.com/m/ex_machina,"Released Apr 24, 2015",92.0,86.0
Mad Max: Fury Road,https://www.rottentomatoes.com/m/mad_max_fury_road,"Released May 15, 2015",97.0,86.0
Love & Mercy,https://www.rottentomatoes.com/m/love_and_mercy,"Released Jun 5, 2015",89.0,85.0
Mission: Impossible Rogue Nation,https://www.rottentomatoes.com/m/mission_impossible_rogue_nation,"Released Jul 31, 2015",94.0,87.0
Gift,https://www.rottentomatoes.com/m/gift,"Released Oct 11, 2019",100.0,89.0
Straight Outta Compton,https://www.rottentomatoes.com/m/straight_outta_compton,"Released Aug 14, 2015",89.0,91.0
The Martian,https://www.rottentomatoes.com/m/the_martian,"Released Oct 2, 2015",91.0,91.0
Beasts of No Nation,https://www.rottentomatoes.com/m/beasts_of_no_nation,"Released Oct 16, 2015",91.0,92.0
Bridge of Spies,https://www.rottentomatoes.com/m/bridge_of_spies,"Released Oct 16, 2015",91.0,87.0
Creed,https://www.rottentomatoes.com/m/creed,"Released Nov 25, 2015",95.0,89.0
The Big Short,https://www.rottentomatoes.com/m/the_big_short,"Released Dec 23, 2015",89.0,88.0
Captain America: Civil War,https://www.rottentomatoes.com/m/captain_america_civil_war,"Released May 6, 2016",90.0,89.0
Deadpool,https://www.rottentomatoes.com/m/deadpool,"Released Feb 12, 2016",85.0,90.0
Zootopia,https://www.rottentomatoes.com/m/zootopia,"Released Mar 4, 2016",98.0,92.0
Boy,https://www.rottentomatoes.com/m/boy,"Released Mar 2, 2012",88.0,86.0
Deadpool,https://www.rottentomatoes.com/m/deadpool,"Released Feb 12, 2016",85.0,90.0
Zootopia,https://www.rottentomatoes.com/m/zootopia,"Released Mar 4, 2016",98.0,92.0
Captain America: Civil War,https://www.rottentomatoes.com/m/captain_america_civil_war,"Released May 6, 2016",90.0,89.0
Ghostbusters,https://www.rottentomatoes.com/m/ghostbusters,"Released Jun 8, 1984",95.0,88.0
Hell or High Water,https://www.rottentomatoes.com/m/hell_or_high_water,"Released Aug 19, 2016",97.0,88.0
Ben-Hur,https://www.rottentomatoes.com/m/benhur,"Released Nov 18, 1959",85.0,89.0
Kubo and the Two Strings,https://www.rottentomatoes.com/m/kubo_and_the_two_strings,"Released Aug 19, 2016",97.0,86.0
Queen of Katwe,https://www.rottentomatoes.com/m/queen_of_katwe,"Released Sep 30, 2016",94.0,86.0
Hidden Figures,https://www.rottentomatoes.com/m/hidden_figures,"Released Jan 6, 2017",93.0,93.0
Guardians of the Galaxy Vol. 2,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_2,"Released May 5, 2017",85.0,87.0
Thor: Ragnarok,https://www.rottentomatoes.com/m/thor_ragnarok,"Released Nov 3, 2017",93.0,87.0
John Wick: Chapter 2,https://www.rottentomatoes.com/m/john_wick_chapter_2,"Released Feb 10, 2017",89.0,85.0
Get Out,https://www.rottentomatoes.com/m/get_out,"Released Feb 24, 2017",98.0,86.0
Ghost in the Shell,https://www.rottentomatoes.com/m/ghost_in_the_shell,1995,95.0,89.0
Guardians of the Galaxy Vol. 2,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_2,"Released May 5, 2017",85.0,87.0
The Big Sick,https://www.rottentomatoes.com/m/the_big_sick,"Released Jul 14, 2017",98.0,88.0
Baby Driver,https://www.rottentomatoes.com/m/baby_driver,"Released Jun 28, 2017",92.0,86.0
Blade Runner 2049,https://www.rottentomatoes.com/m/blade_runner_2049,"Released Oct 6, 2017",88.0,88.0
Thor: Ragnarok,https://www.rottentomatoes.com/m/thor_ragnarok,"Released Nov 3, 2017",93.0,87.0
"Three Billboards Outside Ebbing, Missouri",https://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri,"Released Nov 22, 2017",90.0,87.0
Wonder,https://www.rottentomatoes.com/m/wonder,"Released Nov 17, 2017",86.0,88.0
Call Me by Your Name,https://www.rottentomatoes.com/m/call_me_by_your_name,"Released Jan 19, 2018",94.0,86.0
The Disaster Artist,https://www.rottentomatoes.com/m/the_disaster_artist,"Released Dec 8, 2017",91.0,85.0
"I, Tonya",https://www.rottentomatoes.com/m/i_tonya,"Released Jan 12, 2018",90.0,88.0
Avengers: Infinity War,https://www.rottentomatoes.com/m/avengers_infinity_war,"Released Apr 27, 2018",85.0,92.0
Mission: Impossible - Fallout,https://www.rottentomatoes.com/m/mission_impossible_fallout,"Released Jul 27, 2018",97.0,88.0
"Love, Simon",https://www.rottentomatoes.com/m/love_simon,"Released Mar 16, 2018",92.0,87.0
Sgt. Stubby: An American Hero,https://www.rottentomatoes.com/m/sgt_stubby_an_american_hero,"Released Apr 13, 2018",89.0,92.0
Avengers: Infinity War,https://www.rottentomatoes.com/m/avengers_infinity_war,"Released Apr 27, 2018",85.0,92.0
Won't You Be My Neighbor?,https://www.rottentomatoes.com/m/wont_you_be_my_neighbor,"Released Jun 29, 2018",97.0,94.0
Blindspotting,https://www.rottentomatoes.com/m/blindspotting,"Released Jul 27, 2018",94.0,87.0
Mission: Impossible - Fallout,https://www.rottentomatoes.com/m/mission_impossible_fallout,"Released Jul 27, 2018",97.0,88.0
To All the Boys I've Loved Before,https://www.rottentomatoes.com/m/to_all_the_boys_ive_loved_before,2018,96.0,85.0
Life Itself,https://www.rottentomatoes.com/m/life_itself,"Released Jul 4, 2014",98.0,88.0
The Great Buster: A Celebration,https://www.rottentomatoes.com/m/the_great_buster_a_celebration,"Released Oct 5, 2018",94.0,86.0
Bodied,https://www.rottentomatoes.com/m/bodied,"Released Nov 2, 2018",89.0,85.0
Avengers: Endgame,https://www.rottentomatoes.com/m/avengers_endgame,"Released Apr 26, 2019",94.0,90.0
The Lion King,https://www.rottentomatoes.com/m/the_lion_king,"Released Jun 24, 1994",92.0,93.0
The Lion King,https://www.rottentomatoes.com/m/lion_king,"Released Jun 24, 1994",92.0,93.0
Toy Story 4,https://www.rottentomatoes.com/m/toy_story_4,"Released Jun 21, 2019",97.0,94.0
How to Train Your Dragon: The Hidden World,https://www.rottentomatoes.com/m/how_to_train_your_dragon_the_hidden_world,"Released Feb 22, 2019",90.0,87.0
Fighting With My Family,https://www.rottentomatoes.com/m/fighting_with_my_family,"Released Feb 22, 2019",93.0,86.0
Avengers: Endgame,https://www.rottentomatoes.com/m/avengers_endgame,"Released Apr 26, 2019",94.0,90.0
John Wick: Chapter 3 -- Parabellum,https://www.rottentomatoes.com/m/john_wick_chapter_3_parabellum,"Released May 17, 2019",89.0,86.0
Toy Story 4,https://www.rottentomatoes.com/m/toy_story_4,"Released Jun 21, 2019",97.0,94.0
The Lion King,https://www.rottentomatoes.com/m/the_lion_king,"Released Jun 24, 1994",92.0,93.0
The Lion King,https://www.rottentomatoes.com/m/lion_king,"Released Jun 24, 1994",92.0,93.0
Dora and the Lost City of Gold,https://www.rottentomatoes.com/m/dora_and_the_lost_city_of_gold,"Released Aug 9, 2019",85.0,88.0
The Peanut Butter Falcon,https://www.rottentomatoes.com/m/the_peanut_butter_falcon,"Released Aug 23, 2019",95.0,96.0
After the Wedding,https://www.rottentomatoes.com/m/after_the_wedding,2006,87.0,87.0
Blinded by the Light,https://www.rottentomatoes.com/m/blinded_by_the_light,"Released Aug 16, 2019",89.0,91.0
Brittany Runs a Marathon,https://www.rottentomatoes.com/m/brittany_runs_a_marathon,"Released Sep 13, 2019",88.0,87.0
Monos,https://www.rottentomatoes.com/m/monos,"Released Sep 13, 2019",93.0,85.0
Dolemite Is My Name,https://www.rottentomatoes.com/m/dolemite_is_my_name,"Released Oct 4, 2019",97.0,91.0
The Irishman,https://www.rottentomatoes.com/m/the_irishman,"Released Nov 1, 2019",95.0,86.0
Klaus,https://www.rottentomatoes.com/m/klaus,"Released Nov 8, 2019",95.0,96.0
Honey Boy,https://www.rottentomatoes.com/m/honey_boy,"Released Nov 8, 2019",95.0,92.0
Ford v Ferrari,https://www.rottentomatoes.com/m/ford_v_ferrari,"Released Nov 15, 2019",92.0,98.0
A Beautiful Day in the Neighborhood,https://www.rottentomatoes.com/m/a_beautiful_day_in_the_neighborhood,"Released Nov 22, 2019",95.0,92.0
Knives Out,https://www.rottentomatoes.com/m/knives_out,"Released Nov 27, 2019",97.0,92.0
The Two Popes,https://www.rottentomatoes.com/m/the_two_popes,"Released Nov 27, 2019",89.0,88.0
Just Mercy,https://www.rottentomatoes.com/m/just_mercy,"Released Jan 10, 2020",85.0,99.0
Onward,https://www.rottentomatoes.com/m/onward,"Released Mar 6, 2020",88.0,95.0
Onward,https://www.rottentomatoes.com/m/onward,"Released Mar 6, 2020",88.0,95.0
Bad Education,https://www.rottentomatoes.com/m/bad_education,"Released Mar 19, 2004",88.0,86.0
Athlete A,https://www.rottentomatoes.com/m/athlete_a,2020,100.0,92.0
Animal Crackers,https://www.rottentomatoes.com/m/animal_crackers,"Released Aug 28, 1930",97.0,89.0
Black Is King,https://www.rottentomatoes.com/m/black_is_king,2020,94.0,89.0
Boys State,https://www.rottentomatoes.com/m/boys_state,"Released Jul 31, 2020",95.0,91.0
Words on Bathroom Walls,https://www.rottentomatoes.com/m/words_on_bathroom_walls,"Released Aug 21, 2020",89.0,94.0
Phineas and Ferb the Movie: Candace Against the Universe,https://www.rottentomatoes.com/m/phineas_and_ferb_the_movie_candace_against_the_universe,2020,100.0,86.0
Mulan,https://www.rottentomatoes.com/m/mulan,"Released Jun 19, 1998",86.0,85.0
Critical Thinking,https://www.rottentomatoes.com/m/critical_thinking,"Released Sep 4, 2020",94.0,91.0
The Trial of the Chicago 7,https://www.rottentomatoes.com/m/the_trial_of_the_chicago_7,"Released Oct 16, 2020",89.0,90.0
The Boys in the Band,https://www.rottentomatoes.com/m/boys_in_the_band,"Released Mar 17, 1970",90.0,87.0
Love and Monsters,https://www.rottentomatoes.com/m/love_and_monsters,"Released Oct 16, 2020",94.0,89.0
Sound of Metal,https://www.rottentomatoes.com/m/sound_of_metal,"Released Nov 20, 2020",97.0,90.0
Folklore: The Long Pond Studio Sessions,https://www.rottentomatoes.com/m/folklore_the_long_pond_studio_sessions,2020,100.0,95.0
Soul,https://www.rottentomatoes.com/m/soul,Released Jan 12,95.0,88.0
News of the World,https://www.rottentomatoes.com/m/news_of_the_world,"Released Dec 25, 2020",88.0,89.0
Promising Young Woman,https://www.rottentomatoes.com/m/promising_young_woman,"Released Dec 25, 2020",90.0,87.0
A Quiet Place Part II,https://www.rottentomatoes.com/m/a_quiet_place_part_ii,"Released May 28, 2021",91.0,92.0
DIG!,https://www.rottentomatoes.com/m/dig,"Released Oct 1, 2004",89.0,90.0
Our Friend,https://www.rottentomatoes.com/m/our_friend,"Released Jan 22, 2021",86.0,95.0
No Man's Land,https://www.rottentomatoes.com/m/no_mans_land,"Released Dec 21, 2001",93.0,92.0
Judas and the Black Messiah,https://www.rottentomatoes.com/m/judas_and_the_black_messiah,"Released Feb 12, 2021",96.0,95.0
Minari,https://www.rottentomatoes.com/m/minari,"Released Feb 12, 2021",98.0,87.0
Billie Eilish: The World's a Little Blurry,https://www.rottentomatoes.com/m/billie_eilish_the_worlds_a_little_blurry,"Released Feb 26, 2021",96.0,95.0
Raya and the Last Dragon,https://www.rottentomatoes.com/m/raya_and_the_last_dragon,"Released Mar 5, 2021",93.0,97.0
The Courier,https://www.rottentomatoes.com/m/the_courier,"Released Mar 19, 2021",85.0,95.0
Arlo the Alligator Boy,https://www.rottentomatoes.com/m/arlo_the_alligator_boy,2021,85.0,85.0
The Mitchells vs. the Machines,https://www.rottentomatoes.com/m/the_mitchells_vs_the_machines,"Released Apr 23, 2021",97.0,89.0
The Paper Tigers,https://www.rottentomatoes.com/m/the_paper_tigers,"Released May 7, 2021",98.0,93.0
Dream Horse,https://www.rottentomatoes.com/m/dream_horse,"Released May 21, 2021",88.0,97.0
A Quiet Place Part II,https://www.rottentomatoes.com/m/a_quiet_place_part_ii,"Released May 28, 2021",91.0,92.0
Rita Moreno: Just a Girl Who Decided to Go For It,https://www.rottentomatoes.com/m/rita_moreno_just_a_girl_who_decided_to_go_for_it,"Released Jun 18, 2021",96.0,93.0
The Sparks Brothers,https://www.rottentomatoes.com/m/the_sparks_brothers,"Released Jun 18, 2021",95.0,98.0
Truman & Tennessee: An Intimate Conversation,https://www.rottentomatoes.com/m/truman_and_tennessee_an_intimate_conversation,"Released Jun 18, 2021",91.0,100.0
A Crime on the Bayou,https://www.rottentomatoes.com/m/a_crime_on_the_bayou,"Released Jun 18, 2021",100.0,88.0
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",https://www.rottentomatoes.com/m/summer_of_soul,"Released Jul 2, 2021",99.0,98.0
Roadrunner: A Film About Anthony Bourdain,https://www.rottentomatoes.com/m/roadrunner_a_film_about_anthony_bourdain,"Released Jul 16, 2021",91.0,94.0
Val,https://www.rottentomatoes.com/m/val,"Released Jul 23, 2021",93.0,88.0
Ailey,https://www.rottentomatoes.com/m/ailey,"Released Jul 23, 2021",90.0,88.0
Not Going Quietly,https://www.rottentomatoes.com/m/not_going_quietly,"Released Aug 13, 2021",100.0,91.0
RUSHED,https://www.rottentomatoes.com/m/rushed,"Released Aug 27, 2021",90.0,88.0
Come From Away,https://www.rottentomatoes.com/m/come_from_away,2021,98.0,95.0
The Killing of Kenneth Chamberlain,https://www.rottentomatoes.com/m/the_killing_of_kenneth_chamberlain,"Released Sep 17, 2021",97.0,85.0
Old Henry,https://www.rottentomatoes.com/m/old_henry,"Released Oct 1, 2021",95.0,92.0
The Harder They Fall,https://www.rottentomatoes.com/m/the_harder_they_fall,"Released Oct 22, 2021",88.0,93.0
The Souvenir Part II,https://www.rottentomatoes.com/m/the_souvenir_part_ii,"Released Oct 29, 2021",90.0,86.0
"Tick, Tick... Boom!",https://www.rottentomatoes.com/m/tick_tick_boom,"Released Nov 12, 2021",87.0,96.0
King Richard,https://www.rottentomatoes.com/m/king_richard,"Released Nov 19, 2021",90.0,98.0
Friend of the World,https://www.rottentomatoes.com/m/friend_of_the_world,2020,91.0,95.0
Nightmare Alley,https://www.rottentomatoes.com/m/nightmare_alley,"Released Oct 9, 1947",88.0,86.0
Top Gun: Maverick,https://www.rottentomatoes.com/m/top_gun_maverick,"Released May 27, 2022",96.0,99.0
The Batman,https://www.rottentomatoes.com/m/the_batman,"Released Mar 4, 2022",85.0,87.0
Puss in Boots: The Last Wish,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish,"Released Dec 21, 2022",95.0,94.0
Jackass Forever,https://www.rottentomatoes.com/m/jackass_forever,"Released Feb 4, 2022",85.0,91.0
Cyrano,https://www.rottentomatoes.com/m/cyrano,"Released Feb 25, 2022",85.0,86.0
The Batman,https://www.rottentomatoes.com/m/the_batman,"Released Mar 4, 2022",85.0,87.0
