rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,average_rating
m/jim_gaffigan_noble_ape,Jim Gaffigan: Noble Ape,Comic Jim Gaffigan proves that laughter is the best medicine when he talks about a family medical crisis and other topics during his hilarious stand-up routine.,,NR,Comedy,Jeannie Noth Gaffigan,Jim Gaffigan,Jim Gaffigan,2018-07-13,2018-07-19,70.0,Comedy Dynamics,Fresh,100.0,8.0,Upright,89.0,101.0,5,8,0,94.5
m/jim_gaffigan_obsessed,Jim Gaffigan: Obsessed,,,NR,Comedy,Jay Chapman,"Jim Gaffigan, Jeannie Noth Gaffigan",Jim Gaffigan,,,70.0,,Fresh,100.0,5.0,,,,3,5,0,100.0
m/jim_gaffigan_quality_time,Jim Gaffigan: Quality Time,,,NR,Comedy,Jeannie Noth Gaffigan,"Jim Gaffigan, Jeannie Noth Gaffigan",Jim Gaffigan,,,,Amazon Studios,Fresh,100.0,6.0,,,,2,6,0,100.0
m/jingle_bell_rocks,Jingle Bell Rocks,"Filmmaker Mitchell Kezin explores unusual and underappreciated alternatives to traditional Christmas tunes with hip-hop legend Joseph ""Rev Run"" Simmons, filmmaker John Waters, DJ/musicologist Dr. Demento, and others.",,NR,"Comedy, Documentary, Special Interest",Mitchell Kezin,Mitchell Kezin,"John Waters, Mitchell Kezin, Wayne Coyne, Joseph Simmons, Clarence Carter",2014-12-09,2016-08-10,94.0,Oscilloscope Laboratories,Fresh,100.0,7.0,Upright,76.0,120.0,2,7,0,88.0
m/jinn_2018,Jinn,"Summer is a carefree 17-year-old whose world gets turned upside down when her mother, a popular meteorologist, abruptly decides to convert to Islam.","A coming-of-age story distinguished by sensitivity and strong performances, Jinn heralds debuting writer-director Nijla Mu'min as a remarkable talent.",NR,Drama,Nijla Mu'min,Nijla Mu'min,"Simone Missick, Kelvin Harrison Jr., Dorian Missick, Hisham Tawfiq, Kelly Jenrette",2018-11-14,2018-11-16,91.0,Orion Classics,Fresh,91.0,22.0,Upright,84.0,149.0,6,20,2,87.5
m/jiro_dreams_of_sushi,Jiro Dreams of Sushi,"Revered sushi chef Jiro Ono strives for perfection in his work, while his eldest son, Yoshikazu, has trouble living up to his father's legacy.","Beautiful, thoughtful, and engrossing, Jiro Dreams of Sushi should prove satisfying even for filmgoers who don't care for the cuisine.",PG,"Art House & International, Documentary, Special Interest",David Gelb,,"Jiro Ono, Yoshikazu Ono, Takashi Ono, Hachiro Mizutani, Masuhiro Yamamoto",2012-03-09,2016-08-10,81.0,Magnolia Pictures,Certified-Fresh,99.0,94.0,Upright,92.0,30038.0,33,93,1,95.5
m/joan-rivers-a-piece-of-work,Joan Rivers: A Piece Of Work,"This revealing documentary follows the life and career of Joan Rivers, a veteran comedienne arguably more known for her extensive plastic surgery than for her talent. The film explores her early years in the comedy industry and touches on her longtime professional relationship with Johnny Carson, who is one of many celebrities featured, along with George Carlin, Phyllis Diller, Kathy Griffin and Rivers' own daughter and frequent screen partner, Melissa Rivers.","Penetrating Rivers' coarse image, this compelling documentary offers an honest, behind-the-scenes look at her career -- and at show business in general.",R,"Comedy, Documentary, Television","Ricki Stern, Anne Sundberg",Ricki Stern,"Joan Rivers, Kathy Griffin, Joy Browne, Melissa Rivers, Dr. Joy Browne, Kate Forrester, Joe Castagna, Jon Stewart, Richard Belzer, Denis Leary, Garry Shandling, Lily Tomlin, Bill Maher, Brad Garrett, Greg Giraldo, Jeffrey Ross, Don Rickles, David Muir, Jocelyn Pickett, Billy Sammeth",2010-06-11,2016-12-05,84.0,IFC Films,Certified-Fresh,92.0,109.0,Upright,82.0,12426.0,37,100,9,87.0
m/jodorowskys_dune,Jodorowsky's Dune,"Filmmaker Alejandro Jodorowsky discusses how he would have adapted Frank Herbert's classic sci-fi novel ""Dune"" for the big screen.","Part thoughtful tribute, part bittersweet reminder of a missed opportunity, Jodorowsky's Dune offers a fascinating look at a lost sci-fi legend.",PG-13,"Documentary, Science Fiction & Fantasy, Special Interest",Frank Pavich,,"Alejandro Jodorowsky, Michel Seydoux, H.R. Giger, Chris Foss, Brontis Jodorowsky, Richard Stanley, Devin Faraci, Drew McWeeny, Gary Kurtz, Nicolas Winding Refn, Diane O'Bannon, Christian Vander, Jean-Pierre Vignau, Jean-Paul Gibbon",2014-03-21,2014-07-08,88.0,Sony Pictures Classics,Certified-Fresh,97.0,119.0,Upright,89.0,12251.0,36,116,3,93.0
m/joe_strummer_the_future_is_unwritten,Joe Strummer: The Future Is Unwritten,"Julien Temple's film is a fitting tribute to one of Britain's most influential and best-loved musicians, best known as the front man of The Clash, who mellowed in later life into fronting his new band, the Mescaleros. Temple's advantage is that as a chronicler of punk from its earliest days, he could call on his own archive footage as well as that shot by others over the years.","Displaying Joe Strummer warts and all, The Future is Unwritten succeeds as both an engrossing documentary and a comprehensive examination of one of music's most legendary figures.",NR,"Documentary, Musical & Performing Arts",Julien Temple,Julien Temple,"Joe Strummer, Mick Jones, The Clash, Nicky ""Topper"" Headon, Bono, Terry Chimes, Alasdair Gillis, Iain Gillies, Alasdair Gillies, Damien Hirst, Gaby Holford, Joe Ely Band, John Cusack, Luce Mellor, Johnny Depp, Matt Dillon, Jim Jarmusch, Martin Scorsese, Sara Driver, Flea, Courtney Love, Steve Buscemi, Zander Schloss",2007-11-02,2016-11-09,125.0,IFC First Take,Certified-Fresh,89.0,63.0,Upright,87.0,7652.0,27,56,7,88.0
m/john_leguizamos_latin_history_for_morons,John Leguizamo's Latin History for Morons,,,NR,Documentary,Ben DeJesus,,John Leguizamo,,,,Netflix,Fresh,100.0,7.0,Upright,77.0,148.0,1,7,0,88.5
m/john_mulaney_and_the_sack_lunch_bunch,John Mulaney & The Sack Lunch Bunch,,"With spectacular musical numbers, a smartly silly sensibility, and just the right amount of existential dread, John Mulaney & The Sack Lunch Bunch is a joyous reminder that kindness and comedy can in fact go hand in hand.",NR,"Comedy, Kids & Family, Television",Rhys Thomas,"John Mulaney, Marika Sawyer","John Mulaney, David Byrne, André De Shields, Natasha Lyonne, Annaleigh Ashford, Shereen Pimentel, Richard Kind, Jake Gyllenhaal",,,,,Certified-Fresh,96.0,26.0,Upright,77.0,122.0,12,25,1,86.5
m/john_mulaney_kid_gorgeous_at_radio_city,John Mulaney: Kid Gorgeous at Radio City,,"John Mulaney incisively describes his own befuddlement with the modern world in this uproariously funny deconstruction of manners, relationships, and religion.",NR,Comedy,Alex Timbers,John Mulaney,John Mulaney,,,,Netflix,Certified-Fresh,100.0,20.0,Upright,89.0,142.0,12,20,0,94.5
m/john_mulaney_the_comeback_kid,John Mulaney: The Comeback Kid,,,NR,"Comedy, Television",Rhys Thomas,John Mulaney,"John Mulaney, Petunia, Amanda Walsh (VI)",,,,Netflix,Fresh,100.0,8.0,Upright,96.0,24.0,2,8,0,98.0
m/john_waters_this_filthy_world,This Filthy World,"John Waters is known as the ""Prince of Puke,"" a moniker he embraces in both his life and his art. As he muses on his early childhood in Baltimore, Waters identifies his earliest influences, including tacky drive-in movies and local burlesque performers. He recalls his rocky introduction to film, how his longtime friend Divine, a genderbending drag performer known for his outlandish stunts, inspired some of his most famous work and what he really thinks about ""this filthy world.""",,NR,Documentary,Jeff Garlin,John Waters,"John Waters, Allison Madwatkins",2006-11-24,2016-12-05,82.0,Red Envelope Entertainment,Fresh,91.0,23.0,Upright,85.0,1734.0,10,21,2,88.0
m/john_wick_chapter_2,John Wick: Chapter 2,"Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short when Italian gangster Santino D'Antonio shows up on his doorstep with a gold marker, compelling him to repay past favors. Ordered by Winston, kingpin of secret assassin society The Continental, to respect the organization's ancient code, Wick reluctantly accepts the assignment to travel to Rome to take out D'Antonio's sister, the ruthless capo atop the Italian Camorra crime syndicate.","John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.",R,"Action & Adventure, Drama",Chad Stahelski,Derek Kolstad,"Keanu Reeves, John Leguizamo, Bridget Moynahan, Thomas Sadoski, Ruby Rose, Lance Reddick, Ian McShane, Common, Margaret Daly, Riccardo Scamarcio, Peter Stormare, Laurence Fishburne, Franco Nero",2017-02-10,2017-05-22,122.0,Summit Entertainment,Certified-Fresh,89.0,274.0,Upright,85.0,56691.0,46,244,30,87.0
m/john_wick_chapter_3_parabellum,John Wick: Chapter 3 - Parabellum,"After gunning down a member of the High Table -- the shadowy international assassin's guild -- legendary hit man John Wick finds himself stripped of the organization's protective services. Now stuck with a $14 million bounty on his head, Wick must fight his way through the streets of New York as he becomes the target of the world's most ruthless killers.","John Wick: Chapter 3 - Parabellum reloads for another hard-hitting round of the brilliantly choreographed, over-the-top action that fans of the franchise demand.",R,"Action & Adventure, Drama",Chad Stahelski,"Derek Kolstad, Chris Collins, Marc Abrams, Shay Hatten","Keanu Reeves, Halle Berry, Laurence Fishburne, Mark Dacascos, Asia Kate Dillon, Lance Reddick, Saïd Taghmaoui, Jerome Flynn, Jason Mantzoukas, Tobias Segal, Boban Marjanovic, Anjelica Huston, Ian McShane, Cecep Arif Rahman, Yayan Ruhian, Tiger Hu Chen",2019-05-17,2019-08-23,131.0,Lionsgate,Certified-Fresh,90.0,343.0,Upright,86.0,38731.0,44,307,36,88.0
m/johnny_guitar,Johnny Guitar,"On the outskirts of town, the hard-nosed Vienna (Joan Crawford) owns a saloon frequented by the undesirables of the region, including Dancin' Kid (Scott Brady) and his gang. Another patron of Vienna's establishment is Johnny Guitar (Sterling Hayden), a former gunslinger and her lover. When a heist is pulled in town that results in a man's death, Emma Small (Mercedes McCambridge), Vienna's rival, rallies the townsfolk to take revenge on Vienna's saloon -- even without proof of her wrongdoing.","Johnny Guitar confidently strides through genre conventions, emerging with a brilliant statement that transcends its period setting -- and left an indelible mark.",PG,"Action & Adventure, Classics, Drama, Musical & Performing Arts, Western",Nicholas Ray,Philip Yordan,"Joan Crawford, Mercedes McCambridge, Sterling Hayden, Scott Brady, Ward Bond, Ben Cooper, Ernest Borgnine, John Carradine, Royal Dano, Frank Ferguson, Paul Fix, Rhys Williams, Ian MacDonald, Will Wright, John Maxwell, Robert Osterloh, Trevor Bardette, Sumner Williams, Sheb Wooley, Denver Pyle, Clem Harvey, Frank Marlowe, Victor Young, Philip Yordan, Roy Chanslor, Howard Wilson",1954-05-26,2017-01-06,110.0,Republic,Certified-Fresh,93.0,45.0,Upright,85.0,3586.0,12,42,3,89.0
m/joli_mai,Le Joli Mai,"This film by acclaimed director Chris Marker depicts the state of France during the early 1960s by presenting interviews with numerous Parisians. Recording these citizens in their familiar surroundings, the documentary, narrated by French actor Yves Montand, captures a wide range of unfiltered thoughts and opinions about various topics, including the Algerian War, the economy, religion and art. More than anything, however, the production features simple observations about everyday life.",,NR,"Documentary, Drama, Special Interest","Chris Marker, Pierre Lhomme","Chris Marker, Pierre Lhomme, Catherine Varlin","Yves Montand, Simone Signoret, Chris Marker",1963-01-01,2016-03-31,124.0,Icarus Films,Fresh,94.0,16.0,Upright,92.0,285.0,3,15,1,93.0
