rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,average_rating
m/1151898-capote,Capote,"Reading of the murder of a Kansas family, New York City novelist Truman Capote (Philip Seymour Hoffman) decides to cover the story himself, and travels to the small town with his childhood friend, aspiring novelist Harper Lee (Catherine Keener). When Perry Smith (Clifton Collins Jr.) and Dick Hickock (Mark Pellegrino) are arrested and charged, Capote forms an emotional bond with Smith during his jailhouse interviews despite the young criminal's apparent guilt.",Philip Seymour Hoffman's riveting central performance guides a well-constructed retelling of the most sensational and significant period in author Truman Capote's life.,R,Drama,Bennett Miller,Dan Futterman,"Philip Seymour Hoffman, Catherine Keener, Chris Cooper, Bruce Greenwood, Bob Balaban, Amy Ryan, Clifton Collins Jr., Mark Pellegrino, Allie Mickelson, Marshall Bell, Araby Lockhart, Robert Huculak, R.D. Reid, Bob Huculak, Robert McLaughlin, Dan Futterman, Harry Nelken, Kerr Hewitt, John Maclaren, Jeremy Dangerfield, Kwesi Ameyaw, Jim Shepard, C. Ernst Harth, John B. Destry, Adam Kimmel",2005-09-30,2016-11-30,115.0,Sony Pictures Classics,Certified-Fresh,90.0,196.0,Upright,82.0,115946.0,43,176,20,86.0
m/1152019-good_night_and_good_luck,"Good Night, And Good Luck","When Senator Joseph McCarthy begins his foolhardy campaign to root out Communists in America, CBS News impresario Edward R. Murrow (David Strathairn) dedicates himself to exposing the atrocities being committed by McCarthy's Senate ""investigation."" Murrow is supported by a news team that includes long-time friend and producer Fred Friendly (George Clooney). The CBS team does its best to point out the senator's lies and excesses, despite pressure from CBS' corporate sponsors to desist.","A passionate and concise cinematic civics lesson, Good Night, And Good Luck has plenty to say about today's political and cultural climate, and its ensemble cast is stellar.",PG,Drama,George Clooney,"George Clooney, Grant Heslov","David Strathairn, Patricia Clarkson, George Clooney, Jeff Daniels, Robert Downey Jr., Frank Langella, Ray Wise, Tate Donovan, Reed Diamond, Tom McCarthy, Matt Ross, Robert John Burke, Grant Heslov, Alex Borstein, Rose Abdoo, Glenn Morshower, Don Creech, Helen Slayton-Hughes, Robert Knepper, JD Cullum, Simon Helberg, Peter Jacobson, Dianne Reeves",2005-10-07,2009-01-09,93.0,Warner Independent Pictures,Certified-Fresh,93.0,226.0,Upright,83.0,142717.0,51,211,15,88.0
m/1153077-1153077-pride_and_prejudice,Pride and Prejudice,"In this adaptation of Jane Austen's beloved novel, Elizabeth Bennet (Keira Knightley) lives with her mother, father and sisters in the English countryside. As the eldest, she faces mounting pressure from her parents to marry. When the outspoken Elizabeth is introduced to the handsome and upper-class Mr. Darcy (Matthew MacFadyen), sparks fly. Although there is obvious chemistry between the two, Darcy's overly reserved nature threatens the fledgling relationship.","Sure, it's another adaptation of cinema's fave Jane Austen novel, but key performances and a modern filmmaking sensibility make this familiar period piece fresh and enjoyable.",PG,"Comedy, Drama, Romance",Joe Wright,Deborah Moggach,"Keira Knightley, Matthew MacFadyen, Brenda Blethyn, Donald Sutherland, Talulah Riley, Rosamund Pike, Jena Malone, Carey Mulligan, Tom Hollander, Simon Woods, Judi Dench, Peter Wight, Rupert Friend, Kelly Reilly, Penelope Wilton, Jay Simpson, Sylvester Morand, Sinead Matthews, Tamzin Merchant, Claudie Blakley, Roy Holder, Rosamund Stephen, Cornelius Booth, Janet Whiteside, Megan Owen, Samantha Bloom, Moya Brady, Pip Torrens",2005-11-11,2014-02-12,128.0,Focus Features,Certified-Fresh,86.0,180.0,Upright,89.0,459456.0,42,155,25,87.5
m/1155,11:55,"After being involved in the fatal shooting of a local drug dealer, U.S. Marine Nelson Sanchez returns to the neighborhood he left behind years ago. Amid the fanfare and celebration, the brother of the deceased learns of Nelson's homecoming and vows revenge. Word reaches Nelson but instead of fleeing, he charts an unlikely path to break the cycle of violence that defined him.",,NR,Drama,"Ari J. Issler, Ben Snyder","Victor Almanzar, Ari J. Issler, Ben Snyder","Victor Almanzar, Elizabeth Rodriguez, David Zayas, Julia Stiles, John Leguizamo, Shirley Rumierk, Mike Carlsen, Goya Robles, Robin De Jesus, Dominic Colón, Smarlin Hernandez, Kareem Savinon",2017-06-09,2017-06-09,80.0,Gravitas Ventures,Fresh,100.0,5.0,Upright,79.0,384.0,3,5,0,89.5
m/1158179-devil_and_daniel_johnston,The Devil and Daniel Johnston,"Filmmaker Jeff Feuerzeig chronicles the life of a manic-depressive musician and artist, using a blend of home movies, Johnston's own audiotapes, vintage performances and current footage. Johnston has recorded more than 10 full-length albums and amassed a prolific portfolio of sketches, and has among his supporters Matt Groening, David Bowie, Sonic Youth, Beck, and Tom Waits.","Whether you think this mentally ill cult musician is worthy of being called a ""genius,"" this document of his life is crafted with sincere respect and is fascinating to watch.",PG-13,"Documentary, Musical & Performing Arts",Jeff Feuerzeig,Jeff Feuerzeig,"Louis Black, Bill Johnston, Jeff Tartakov, Daniel Johnston, Mabel Johnston, Kathy McCarty, Gibby Haynes, Jad Fair, David Fair, Matt Groening, David Thornberry, Dick Johnston, Margie Johnston, Ken Lieck, Brian Beattie, David Baker, Rishnonda Brewster, Sally Johnston-Reid, Matthew Griffin, Jeffrey Wilson, Mark Richardson, Jason Damron, Bridget Damron, Brad Lee Wind, John Pochna, Don Goede, Sonic Youth",2006-03-31,2014-01-08,110.0,Sony Picture Classics,Certified-Fresh,88.0,112.0,Upright,91.0,25432.0,36,99,13,89.5
m/1163536-unconscious,Unconscious,A man lying unconscious in a hospital bed fits the description of six missing men.,"A comedy that tackles outrageous subjects (pornography, transvestism, bisexuality and drug abuse) with both grace and mischievous glee.",R,"Art House & International, Comedy, Drama, Mystery & Suspense",Bradley Wigor,George Williams (XVI),"John Speredakos, Peter Friedman, Adam LeFevre, Jessica Almasy, Benjamin Walker, Josh Pais, Brian Tarantina, Mark Lanier, Jose Llana",2006-11-24,2009-05-05,108.0,Regent Releasing,Fresh,85.0,26.0,Upright,87.0,720.0,10,22,4,86.0
m/1167811-ballets_russes,Ballets Russes,"From 1909 to 1929, the Ballets Russes traveled the globe, becoming one of the most famous ballet troupes in the world as they collaborated with painters and filmmakers, and setting new standards for artistry in dance production. When their impresario, Sergei Diaghilev, died in 1929, the company's glory years came to an end, but their legend persisted through the 20th century. A 2000 reunion of surviving members in New Orleans provides the world with an opportunity to pay tribute.","Even if you know little about ballet, there is much to love about this documentary's captivating archival footage and its interviews with elderly former dancers who have much to share.",NR,"Documentary, Musical & Performing Arts","Dayna Goldfine, Daniel Geller",Dan Geller,"Ann Barzel, Irina Baronova, Yvonne Chouteau, Yvonne Craig, Frederic Franklin, Alan Howard, Nathalie Krassovska, Alicia Markova, Nina Novak, Wakefield Poole, Tatiana Riabouchinska, Mia Slavenska, Tatiana Stepanova, Maria Tallchief, Tamara Tchinerova Finch, Miguel Terekhov, Nini Theilade, Raven Wilkonson, George Zoritch, Rochelle Zide",2005-10-26,2017-03-10,121.0,Zeitgeist,Certified-Fresh,92.0,60.0,Upright,81.0,2748.0,22,55,5,86.5
m/1175374-fail_safe,Fail Safe,"During the 1960s, a computer error in Nebraska unwittingly sets off a perilous chain of events leading to a Cold War crisis. The computer sends an order to a squadron piloted by Col. Jack Grady (George Clooney) to drop a bomb on Moscow. Despite the efforts of the president (Richard Dreyfuss) to negate the false order, the crew forges on with what they think is their task. The president and his translator (Noah Wyle) are forced to reach out to the Russian leader to negotiate.",,NR,"Action & Adventure, Drama, Mystery & Suspense, Television","Stephen Frears, Martin A. Pasetta",Walter Bernstein,"George Clooney, Richard Dreyfuss, Noah Wyle, Harvey Keitel, Hank Azaria, Brian Dennehy, James Cromwell, Sam Elliott, John Diehl, Don Cheadle, Norman Lloyd, Bill Smitrovich, Doris Belack, Cynthia Ettinger, Tommy Hinkley, Grant Heslov",2000-04-09,2016-11-29,97.0,WARNER BROTHERS PICTURES,Fresh,100.0,5.0,Upright,79.0,1669.0,0,5,0,89.5
m/1175777-ghosts_of_abu_ghraib,Ghosts of Abu Ghraib,Filmmaker Rory Kennedy examines the abuse of inmates at an Iraqi prison.,,NR,"Documentary, Special Interest",Rory Kennedy,Jack Youngelson,"Alberto Mora, John Yoo, Scott Horton, Mark Danner, Alfred McCoy, Rear Admiral John Hutson, Javal Davis, Megan Ambuhl, Israel Rivera, Roman Krol, General Janis Karpinski, Ken Davis, Tony Lagouranis",2007-06-01,2014-06-09,81.0,HBO Video,Fresh,100.0,10.0,Upright,91.0,1172.0,3,10,0,95.5
m/1175778-longford,Longford,"A British earl, Frank Pakenham (Jim Broadbent), advocates the rehabilitation of imprisoned child murderer Myra Hindley (Samantha Morton).",,NR,"Drama, Television",Tom Hooper,Peter Morgan,"Jim Broadbent, Samantha Morton, Lindsay Duncan, Andy Serkis, Lee Boardman, Tam Dean Burn, Kate Miles, Sarah Crowden, Robert Pugh, Caroline Clegg, Alex Blake, Roy Barber, Ian Connaughton, Charlotte West Oram, Roy Carruthers, Karen Bayley, Karen Spragg, Kika Markham, John-Paul Hurley, Richard Sinnott, David MacCreedy, Daniel Shaw, Ross Tomlinson, Gordon Langford Rowe, Ron Meadows Jr., Tina Malone, Anton Rodgers, Martina McClements, C.P. Hallam, Pamela Cheshire",,2016-11-30,93.0,Granada Television,Fresh,100.0,7.0,Upright,86.0,1196.0,3,7,0,93.0
m/1177735-1177735-peck_on_the_cheek,Kannathil Muthamittal (A Peck on the Cheek),"On her ninth birthday Amudha (P.S. Keerthana), after learning that she was adopted, resolves to find her birth mother. Her parents Thiruchelvan (Madhavan) and Indra (Simran) insist on accompanying her, and so together they leave the comfort of their home in India to venture into the jungles of Sri Lanka, where they witness the violence and brutality of civil war. Eventually they discover Shyama (Nandita Das), who explains that she gave up her daughter to fight for the separatist cause.",,NR,"Art House & International, Drama",Mani Ratnam,,"Kalyan Chakravarthy, Nandita Das, Keerthana, Madhavan, Prakashraj, Simran",2002-02-14,2016-06-16,135.0,,Fresh,83.0,6.0,Upright,93.0,1385.0,1,5,1,88.0
m/1185677-dear_pillow,Dear Pillow,A former porn-film maker uses his protege to fulfill his sexual fantasies.,,NR,"Art House & International, Drama",Bryan Poyser,Bryan Poyser,"Rusty Kelly, Gary Chason, Viviane Vives, Cory Criswell, John Erler",2004-01-01,2020-04-17,85.0,,Fresh,100.0,6.0,Upright,75.0,165.0,0,6,0,87.5
m/1186023-1186023-rape_of_europa,The Rape of Europa,"In addition to being some of the worst war criminals in history, Hitler and the Nazi regime were also among the most prolific art thieves. During World War II, the Third Reich ordered the destruction of thousands of pieces of art from ""inferior"" cultures and the theft of thousands more. This documentary explores the effects of the cultural destruction perpetrated by the Nazis across Europe, and examines the ongoing struggle to recover and return the stolen art.",The Rape of Europa grapples with a subject that's vast and powerful enough to fill several films -- and emerges with a story as fascinating as it is infuriating.,NR,"Documentary, Musical & Performing Arts","Richard Berge, Bonni Cohen, Nicole Newnham","Richard Berge, Bonni Cohen, Nicole Newnham",Joan Allen,2007-09-14,2016-08-10,117.0,Menemsha Films,Certified-Fresh,82.0,45.0,Upright,92.0,1297.0,21,37,8,87.0
m/1194626-fanaa,Fanaa,"Rehan (Aamir Khan), a tour guide and notorious flirt, meets Zooni (Kajol), a blind Kashmiri woman. She determines to live independently and disregards her friends' advice to ignore Rehan. He teaches her how to experience life to the fullest but, at the same time, he withholds a terrible secret that could destroy them both.",,NR,"Art House & International, Drama, Musical & Performing Arts, Romance",Kunal Kohli,Shibani Bathija,"Aamir Khan, Kajol, Tabu, Shiney Ahuja, Rishi Kapoor, Kiron Kher, Master Ali Haji, Sharat Saxena, Lillete Dubey, Ahmad Khan, Satish Shah, Shruti Seth, Gautami Kapoor, Sanaya Irani, Jaspal Bhatti, Lilette Dubey, Vrajesh Hirjee, Suresh Menon, Ahmed Khan, Shishir Sharma, Salim Shah, Deepak Saraf, Naveen Bawa, Lara Dutta, Sohrab Ardeshir, Puneet Vasishtha, Deepak Shroff, Puneet Vasishta, Savita Bhatti, Akshai Puri, Abhay Singh, Rupali Tiwari, Nitin Shingal, Prubidal Singh Pannu, Anix Vyas, Raxit Patel",2006-05-26,2017-03-08,168.0,Yash Raj Films,Fresh,100.0,7.0,Upright,78.0,9489.0,3,7,0,89.0
m/1194818-encounters_at_the_end_of_the_world,Encounters at the End of the World,"Acclaimed filmmaker Werner Herzog travels to Antarctica, where he finds a desolate, beautiful landscape, largely untouched by human hands, and a group of truly unique people who risk their lives to study it. Centered at McMurdo Station, the United States' largest Antarctic research center, Herzog explores the minds of the scientists willing to abandon civilization and endure volatile conditions to learn more about the continent's wildlife and awe-inspiring natural wonders.",Encounters at the End of the World offers a poignant study of the human psyche amid haunting landscapes.,G,Documentary,Werner Herzog,Werner Herzog,"Werner Herzog, David Ainley, Samuel S. Bowser, Regina Eisert, Kevin Emery, Ashrita Furman, William Jirsa, Karen Joyce, Douglas MacAyeal, William McIntosh, Olav T. Oftedal, Clive Oppenheimer, David R. Pacheco Jr., Stefan Pashov, Jan Pawlowski, Scott Rowland, Libor Zicha",2007-09-01,2016-08-10,99.0,ThinkFilm,Certified-Fresh,94.0,111.0,Upright,83.0,35835.0,37,104,7,88.5
m/1195800-my_winnipeg,My Winnipeg,"Canadian filmmaker Guy Maddin conducts a personal tour of Winnipeg, Manitoba, the town where he grew up and still lives, in a film he calls a ""docu-fantasia."" By combining archival footage and interviews, dreamlike camera work and recreated scenes -- including several with actress Ann Savage playing the part of Maddin's mother -- the filmmaker builds a portrait of Winnipeg that manages to be historical, intimate, surreal, entertaining and entirely his own.",My Winnipeg is a charmingly irreverent 'docu-fantasy' from the unpredictable mind of Guy Maddin.,NR,"Documentary, Special Interest",Guy Maddin,"Guy Maddin, George Toles","Darcy Fehr, Darcey Fehr, Amy Stewart, Ann Savage, Louis Negin, Brendan Cade, Wesley Cade, Kate Yacula, Jacelyn Lobay, Eric Nipp, Jennifer Palichuk, Guy Maddin",2007-09-07,2016-11-18,80.0,IFC First Take,Certified-Fresh,95.0,92.0,Upright,77.0,4101.0,31,87,5,86.0
m/1196293-reprise,Reprise,"Phillip (Anders Danielsen Lie) and Erik (Espen Klouman Høiner) have been best friends since childhood. Both young men share a passion for the works of reclusive novelist Sten Egil Dahl, and both harbor literary ambitions. However, fate deals differently with the friends as each strives to make his dream come true.","With Reprise, first-time director Joachim Trier effectively captures the spirit of young adulthood, and announces his arrival as a filmmaker to be watched.",R,"Comedy, Drama",Joachim Trier,"Joachim Trier, Eskil Vogt","Espen Klouman-Høiner, Viktoria Winge, Anders Danielsen Lie, Henrik Elvestad, Christian Rubeck, Odd Magnus Williamson, Rebekka Karijord, Henrik Mestad, Pål Stokka, Sigmund Sæverud, Tone Danielsen, Eindride Eidsvold, Kari Feilberg-Jacobsen, Silje Hagen, Thorbjørn Harr, Ivar Lykke, Elisabeth Sand",2006-07-03,2008-09-02,105.0,Miramax,Certified-Fresh,88.0,81.0,Upright,84.0,5026.0,35,71,10,86.0
m/1197200-my_father_my_lord,Hofshat Kaits (My Father My Lord),"The leader of a small ultra-orthodox community in Tel Aviv, Rabbi Abraham Edelman (Assi Dayan) is absolutely inflexible about doctrine. It's a trait that has won him no shortage of respect from his peers, but it's beginning to cause conflict with his son (Ilan Griff). Little Menahem has a growing fascination with the natural world, and simply can't understand why his father must shoo a mother bird from her nest, or insist that dogs have no souls.",This beautiful Israeli film is both a moving family drama and a potent examination of the trials of faith.,NR,"Art House & International, Drama",David Volach,David Volach,"Assi Dayan, Nitsam Bar, Ilan Griff, Sharon Hacohen, Elan Griff, Michal Rubin",2008-07-11,2013-11-08,74.0,Kino International,Fresh,95.0,37.0,Upright,75.0,1423.0,18,35,2,85.0
m/1197696-fantastic_mr_fox,Fantastic Mr. Fox,"After 12 years of bucolic bliss, Mr. Fox (George Clooney) breaks a promise to his wife (Meryl Streep) and raids the farms of their human neighbors, Boggis, Bunce and Bean. Giving in to his animal instincts endangers not only his marriage but also the lives of his family and their animal friends. When the farmers force Mr. Fox and company deep underground, he has to resort to his natural craftiness to rise above the opposition.",Fantastic Mr. Fox is a delightfully funny feast for the eyes with multi-generational appeal -- and it shows Wes Anderson has a knack for animation.,PG,"Action & Adventure, Animation, Comedy, Kids & Family",Wes Anderson,"Wes Anderson, Noah Baumbach","George Clooney, Meryl Streep, Jason Schwartzman, Bill Murray, Wallace Wolodarsky, Eric Chase Anderson, Michael Gambon, Willem Dafoe, Owen Wilson, Jarvis Cocker, Wes Anderson, Karen Duffy, Robin Hurlstone, Hugo Guinness, Helen McCrory, Roman Coppola, Juman Malouf, Garth Jennings, Brian Cox, Tristan Oliver, Charlie Hamilton James, Steven M. Rales, Jeremy Dawson, Robert Hersov, Jennifer Furches, Mario Batali, Allison Abbate, Molly Cooper, Adrien Brody, Martin Ballard, Alexandre Desplat",2009-11-25,2015-11-25,88.0,20th Century Fox,Certified-Fresh,93.0,240.0,Upright,85.0,152657.0,53,222,18,89.0
m/1200743-wrecking_crew,The Wrecking Crew,"The son of guitarist Tommy Tedesco pays tribute to his late father and a core group of studio musicians who played on some of the biggest hits of the 1960s and '70s, including ""California Girls"" and ""Mrs. Robinson.""","The Wrecking Crew may not achieve the greatness of the many classic songs its subjects helped bring to life, but it remains a heartfelt, overdue tribute to overshadowed brilliance.",PG,"Documentary, Musical & Performing Arts",Denny Tedesco,,"Herb Alpert, Brian Wilson, Don Randi, Cher, Micky Dolenz, Nancy Sinatra, Jimmy Webb, Lou Adler, Hal Blaine, Earl Palmer, Tommy Tedesco, Carol Kaye, Al Casey, Plas Johnson, Joe Osborn",2015-03-13,2016-10-04,102.0,Magnolia Pictures,Certified-Fresh,94.0,71.0,Upright,84.0,5313.0,20,67,4,89.0
m/1202867-dear_zachary,Dear Zachary: A Letter to a Son About His Father,"In 2001, 28-year-old Dr. Andrew Bagby is found dead in a park in Pennsylvania. He had been shot by his ex-girlfriend, who then fled to Canada, where she was able to walk free on bail, pregnant with Andrew's child. Andrew's enraged parents campaign to gain custody of the child and convict their son's killer. Filmmaker Kurt Kuenne pairs this story with home movies and interviews with those who knew Andrew, hoping to give his best friend's son an opportunity to discover who his dad was.","Dear Zachary is a both a touching tribute to a fallen friend and a heart-wrenching account of justice gone astray, skillfully put to film with no emotion spared.",NR,"Documentary, Drama, Special Interest",Kurt Kuenne,Kurt Kuenne,"David Bagby, Kathleen Bagby, Heather Arnold, Kurt Kuenne, Dr. Andrew Bagby, Zachary Andrew Turner, Shirley Turner",2008-10-31,2016-06-24,95.0,Oscilloscope Pictures,Certified-Fresh,94.0,51.0,Upright,96.0,7162.0,10,48,3,95.0
m/1205903-our_man_in_havana,Our Man in Havana,"British expatriate Jim Wormold (Alec Guinness) runs a vacuum cleaner store in Havana, Cuba. He has promised his vain daughter, Milly (Jo Morrow), a horse and a country club membership, which leaves him desperate for money. When Hawthorne (Noel Coward) proposes he become a paid British agent and recruit other spies, he accepts, and haplessly embarks on a new career. Though he's delighted when he meets gorgeous fellow spy Beatrice Severn (Maureen O'Hara), Wormold finds he's now a target.",,NR,"Classics, Comedy, Drama, Mystery & Suspense",Carol Reed,Graham Greene,"Alec Guinness, Maureen O'Hara, Burl Ives, Ernie Kovacs, Noel Coward, Grégoire Aslan, Raymond Huntley, Maxine Audley, Joseph G. Prieto, Duncan Macrae, Hugh Manning, Jo Morrow, Timothy Bateson, Maurice Denham, Paul Rogers, Gerik Schjelderup, Karel Stepanek, Karen Stepanek, Joseph Prieto, Yvonne Buckingham, Ferdinand ""Ferdy"" Mayne, Elisabeth Welch, Rachel Roberts",1959-01-01,2013-01-01,107.0,Kingsmead Productions,Fresh,94.0,17.0,Upright,77.0,1584.0,5,16,1,85.5
m/1206875-islander,Islander,"Angry that outsiders are depleting the locals' traps, a Maine lobsterman (Thomas Hildreth) takes matters into his own hands.",,R,Drama,Ian McCrudden,"Ian McCrudden, Thomas Hildreth","Thomas Hildreth, Amy Jo Johnson, Mark Kiely, Larry Pine, James Parks, Ron Canada, Judy Prescott, Dick Barron, Emma Ford, Philip Baker Hall, Zack Batchelder, Zach Batchelder, Mackenzie Young",2007-03-09,2016-03-30,100.0,Slowhand Releasing,Fresh,88.0,8.0,Upright,83.0,1628.0,4,7,1,85.5
m/1208772-crossing_arizona,Crossing Arizona,"This documentary follows illegal Mexican immigrants who turn to Arizona as their portal into America while border security tightens in California and Texas. Thousands of men looking for work and increasing numbers of women and children, make their way across the desert daily. While some Americans hope to change border restrictions legally, and leave supplies scattered along the route hoping to help the immigrants, others carry arms and patrol the state line with a grimmer intent.",,NR,"Documentary, Special Interest","Joseph Mathew, Dan DeVivo",,"Mike Wilson, Byrd Baylor, Chris Simcox, Manuela Martinez, Alexis Mazon, Isabel García Lorca, Robin Hoover, Rev. John Fife, Ray Ybarra, Ray Borane, Racquel Goldsmith, Adam Adame",2006-04-24,2016-10-05,97.0,Rainlake Productions,Fresh,100.0,6.0,Upright,79.0,396.0,4,6,0,89.5
m/1208882-cove,The Cove,"In Taiji, Japan, local fishermen hide a gruesome secret: the capture and slaughter of dolphins. Activist Ric O'Barry, who trained dolphins for the ""Flipper"" TV series, joins forces with filmmaker Louis Psihoyos and the Ocean Preservation Society to expose the brutal practice, risking life and limb in the process.","Though decidedly one-sided, The Cove is an impeccably crafted, suspenseful expose of the covert slaughter of dolphins in Japan.",PG-13,Documentary,Louie Psihoyos,Mark Monroe,"Simon Hutchins, Mandy-Rae Cruickshank, Kirk Krack, David Rastovich, C. Scott Baker, Scott Baker, Louie Psihoyos, Greg Mooney, Richard O'Barry",2009-04-25,2015-12-20,94.0,Roadside Attractions,Certified-Fresh,95.0,133.0,Upright,94.0,25742.0,42,126,7,94.5
m/1208_east_of_bucharest,12:08 East of Bucharest (A fost sau n-a fost?),"On the anniversary of the overthrow of President Nicolae Ceausescu, Romanian talk show host Virgil Jderescu (Teo Corban) arranges a program dedicated to analyzing the town of Vaslui's role in the revolution. He recruits a strange cast of characters to answer questions, including Emanoil Piscoci (Mircea Andreescu) and Tiberiu Manescu (Ion Sapdaru). What they find, in a comedic examination of revolution, is that many Romanians question whether Vaslui had any role at all in the revolution.","With a witty script full of satirical overtones and dry humor, 12:08 East of Bucharest is a thoroughly enjoyable Romanian comedy.",NR,"Art House & International, Comedy, Drama",Corneliu Porumboiu,Corneliu Porumboiu,"Mircea Andreescu, Teo Corban, Ion Sapdaru, Mirela Cioaba, Luminita Gheorghiu, Cristina Ciofu, Lucian Iftime, Annemarie Chertic, Petrica Sapdaru, Catalin Paraschiv, George Guoquinyun, Constantin Dita, Daniel Badale, Marius Rogojinschi, Aurelia Tocu, Ion Ciolacu, Lucian Pinzaru, Corneliu Negrea, Coca Bloos, Marian Catalin Avasiloae, Marian Ciprian Birzoi, Alexandru Cântea, George Robert Cristea, Tudor Danaila, Andrei Danaila, Victor Alexandru Diaconu, Silviu Costel Dula, Sergiu Leonte, Daniel Popa, Iulian Suru, Remus Vatamanu, Andra Roxana Talmaciu, Romeo Talmaciu, Carmen Lenuta Trufia, Mihai Basescu, Andrei Bejinariu, Mihai Chipcia, Carmen Elena Dorobat, Paul Filipescu, Roxana Finaru, Dumitru Madalin Geantau, Andrada Ghiciuc, Andrei Jigolea, Constantin Jigolea, Bogdan Leonard Mindru, Razvan Mera, Geanina Petruca, Camelia Alexandra Tamas, Valentina Luca, Proumboiu Viorica, Tocu Aurelia, Costin Volin, Alexandru Mita, Ursu Marcela, Burlac Dan, Catalin Croitoru, Mihai Coritoru, Daniel Haba, Ciprian Damian, Grigoriu Eugen, Mihai Basecu, Mihai Apetroaie, Costel Craciun, Constantin Gutuman, Costica Moldoveanu, Saftica Vitala, Alexandru Boicu, Catalin Buchinici, Andrei Grigore, Mahmote Andrei Cristian, Catalin Petronela Chetran, Paul George Chetran, Alexandra Ionela Chetran",2007-06-06,2007-10-09,89.0,Artroumain,Certified-Fresh,96.0,47.0,Upright,75.0,5169.0,24,45,2,85.5
m/1209767-mary_and_max,Mary and Max,A lonely Australian girl (Toni Collette) and an elderly Jewish man (Philip Seymour Hoffman) in New York develop an unlikely friendship through letters.,"Mary and Max is a lovingly crafted, startlingly inventive piece of animation whose technical craft is equaled by its emotional resonance.",G,"Animation, Comedy, Drama",Adam Elliot,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Barry Humphries, Eric Bana, Bethany Whitmore, Renee George, Renee Geyer, Ian ""Molly"" Meldrum, John Flaus, Julie Forsyth",2009-01-15,2016-09-27,92.0,IFC Films,Certified-Fresh,95.0,64.0,Upright,92.0,25178.0,13,61,3,93.5
m/1211532-friends_of_eddie_coyle,The Friends of Eddie Coyle,"Aging Boston gunrunner Eddie Coyle (Robert Mitchum) is looking at several years of jail time for a hold-up if he doesn't funnel information to Dave Foley (Richard Jordan), an ATF agent. Eddie buys some guns from another gunrunner, Jackie Brown (Steven Keats), then gives him up to Foley, but the agent isn't satisfied. Conflicted, Eddie decides to also give up the gang of bank robbers he's been supplying, only to find that Foley already knows about them, and the mob believes Eddie snitched.",The Friends of Eddie Coyle sees Robert Mitchum in transformative late-career mode in a gritty and credible character study.,R,"Classics, Drama, Horror, Mystery & Suspense",Peter Yates,Paul Monash,"Robert Mitchum, Peter Boyle, Richard Jordan, Steven Keats, Alex Rocco, Joe Santos, Mitchell Ryan, Helena Carroll, Peter MacLean, Kevin O'Morrison, Carolyn Pickman, Marvin Lichterman, James Tolkan, Matthew Cowles, Margaret Ladd, Jane House, Michael McCleery, Alan Koss, Dennis McMullen, Judith Ogden Cabot, Jan Egleson, Jack Kehoe, Robert Anthony, Gustave Johnson, Ted Maynard, Rick Azulay, Sheldon Feldner",1973-06-26,2013-11-27,100.0,Paramount Pictures,Fresh,100.0,27.0,Upright,88.0,1423.0,5,27,0,94.0
m/1212016-its_not_me_i_swear,"C'est Pas Moi, Je le Jure! (It's Not Me, I Swear!)","During the summer of 1968, Leon, a 10-year-old boy, navigates the hardships of young love, his lunatic mother's whims, and his urges to vandalize the house of his neighbors.",,NR,"Art House & International, Comedy, Kids & Family",Philippe Falardeau,Philippe Falardeau,"Suzanne Clément, Antoine L'??cuyer, Daniel Brière, Gabriel Maillé, Catherine Faucher, Micheline Bernard, Jean Maheux, Evelyne Rompré, Denis Gravereaux, Pascale Desrochers, Jules Philip",2008-09-05,2015-02-11,105.0,Christal Films,Fresh,100.0,5.0,Upright,85.0,651.0,2,5,0,92.5
